DateTime,Inflow_cfs,Release_cfs,Storage_acft
1990-01-01 00:00:00,132700.0,137700,686500
1990-01-02 00:00:00,124100.0,120100,669700
1990-01-03 00:00:00,142400.0,145400,678100
1990-01-04 00:00:00,167000.0,162000,682300
1990-01-05 00:00:00,166100.0,178100,637800
1990-01-06 00:00:00,172200.0,168200,648700
1990-01-07 00:00:00,153300.0,143300,667600
1990-01-08 00:00:00,150300.0,151300,684400
1990-01-09 00:00:00,176600.0,182600,646600
1990-01-10 00:00:00,167300.0,172300,635600
1990-01-11 00:00:00,192700.0,188700,650800
1990-01-12 00:00:00,198600.0,205600,648700
1990-01-13 00:00:00,177300.0,178300,646600
1990-01-14 00:00:00,163300.0,145300,684400
1990-01-15 00:00:00,111700.0,128700,665500
1990-01-16 00:00:00,138300.0,135300,655000
1990-01-17 00:00:00,175200.0,175200,661300
1990-01-18 00:00:00,187900.0,184900,661300
1990-01-19 00:00:00,174600.0,174600,652900
1990-01-20 00:00:00,175400.0,175400,659200
1990-01-21 00:00:00,157900.0,157900,667600
1990-01-22 00:00:00,147000.0,151000,669700
1990-01-23 00:00:00,168500.0,162500,663400
1990-01-24 00:00:00,162000.0,166000,637800
1990-01-25 00:00:00,185500.0,158500,713800
1990-01-26 00:00:00,164400.0,172400,709600
1990-01-27 00:00:00,175700.0,177700,715900
1990-01-28 00:00:00,146800.0,146800,699100
1990-01-29 00:00:00,160900.0,158900,709600
1990-01-30 00:00:00,181900.0,180900,718000
1990-01-31 00:00:00,172700.0,182700,692800
1990-02-01 00:00:00,195900.0,182900,699100
1990-02-02 00:00:00,202600.0,206600,701200
1990-02-03 00:00:00,156100.0,154100,718000
1990-02-04 00:00:00,150100.0,154100,690700
1990-02-05 00:00:00,134300.0,142300,686500
1990-02-06 00:00:00,155700.0,146700,703300
1990-02-07 00:00:00,165400.0,159400,709600
1990-02-08 00:00:00,172800.0,182800,720100
1990-02-09 00:00:00,178800.0,175800,697000
1990-02-10 00:00:00,198600.0,189600,711700
1990-02-11 00:00:00,168000.0,174000,711700
1990-02-12 00:00:00,154800.0,147800,713800
1990-02-13 00:00:00,183800.0,195800,709600
1990-02-14 00:00:00,203800.0,194800,709600
1990-02-15 00:00:00,217300.0,218300,711700
1990-02-16 00:00:00,214700.0,218700,718000
1990-02-17 00:00:00,219900.0,230900,701200
1990-02-18 00:00:00,202900.0,190900,705400
1990-02-19 00:00:00,192700.0,198700,699100
1990-02-20 00:00:00,195700.0,192700,699100
1990-02-21 00:00:00,203800.0,203800,694900
1990-02-22 00:00:00,206000.0,197000,688600
1990-02-23 00:00:00,187500.0,194500,701200
1990-02-24 00:00:00,202400.0,207400,688600
1990-02-25 00:00:00,164500.0,161500,690700
1990-02-26 00:00:00,173700.0,172700,703300
1990-02-27 00:00:00,191200.0,199200,692800
1990-02-28 00:00:00,191000.0,188000,692800
1990-03-01 00:00:00,190700.0,181700,701200
1990-03-02 00:00:00,178700.0,183700,713800
1990-03-03 00:00:00,196300.0,191300,699100
1990-03-04 00:00:00,174000.0,178000,705400
1990-03-05 00:00:00,163700.0,165700,690700
1990-03-06 00:00:00,184500.0,180500,709600
1990-03-07 00:00:00,181100.0,179100,701200
1990-03-08 00:00:00,189600.0,187600,713800
1990-03-09 00:00:00,191800.0,192800,713800
1990-03-10 00:00:00,182200.0,182200,713800
1990-03-11 00:00:00,222000.0,223000,722200
1990-03-12 00:00:00,184000.0,190000,701200
1990-03-13 00:00:00,210500.0,203500,720100
1990-03-14 00:00:00,213300.0,224300,715900
1990-03-15 00:00:00,195600.0,184600,709600
1990-03-16 00:00:00,211400.0,210400,711700
1990-03-17 00:00:00,145100.0,152100,703300
1990-03-18 00:00:00,185200.0,181200,699100
1990-03-19 00:00:00,169200.0,174200,697000
1990-03-20 00:00:00,184100.0,177100,686500
1990-03-21 00:00:00,202900.0,203900,688600
1990-03-22 00:00:00,200700.0,196700,711700
1990-03-23 00:00:00,231600.0,231600,711700
1990-03-24 00:00:00,242400.0,242400,718000
1990-03-25 00:00:00,203900.0,214900,709600
1990-03-26 00:00:00,183800.0,173800,699100
1990-03-27 00:00:00,240700.0,261700,707500
1990-03-28 00:00:00,230400.0,235400,650800
1990-03-29 00:00:00,202500.0,202500,646600
1990-03-30 00:00:00,209300.0,206300,648700
1990-03-31 00:00:00,236600.0,235600,652900
1990-04-01 00:00:00,179000.0,173000,688600
1990-04-01 23:00:00,165500.0,165500,678100
1990-04-02 23:00:00,183100.0,188100,684400
1990-04-03 23:00:00,207800.0,208800,659200
1990-04-04 23:00:00,232600.0,225600,684400
1990-04-05 23:00:00,233400.0,232400,705400
1990-04-06 23:00:00,227900.0,219900,701200
1990-04-07 23:00:00,176200.0,184200,690700
1990-04-08 23:00:00,215200.0,199200,707500
1990-04-09 23:00:00,226300.0,239300,690700
1990-04-10 23:00:00,243200.0,256200,688600
1990-04-11 23:00:00,214500.0,206500,684400
1990-04-12 23:00:00,214700.0,216700,669700
1990-04-13 23:00:00,182500.0,179500,688600
1990-04-14 23:00:00,165800.0,151800,688600
1990-04-15 23:00:00,156200.0,167200,694900
1990-04-16 23:00:00,197800.0,195800,694900
1990-04-17 23:00:00,203600.0,201600,703300
1990-04-18 23:00:00,226600.0,233600,688600
1990-04-19 23:00:00,233600.0,221600,688600
1990-04-20 23:00:00,236700.0,235700,709600
1990-04-21 23:00:00,227400.0,226400,709600
1990-04-22 23:00:00,206700.0,209700,718000
1990-04-23 23:00:00,231600.0,232600,720100
1990-04-24 23:00:00,236700.0,235700,694900
1990-04-25 23:00:00,262700.0,260700,703300
1990-04-26 23:00:00,261400.0,264400,720100
1990-04-27 23:00:00,261000.0,262000,703300
1990-04-28 23:00:00,256500.0,253500,713800
1990-04-29 23:00:00,243900.0,242900,713800
1990-04-30 23:00:00,212400.0,224400,701200
1990-05-01 23:00:00,219300.0,219300,667600
1990-05-02 23:00:00,250600.0,240600,724300
1990-05-03 23:00:00,232900.0,254900,673900
1990-05-04 23:00:00,260300.0,257300,680200
1990-05-05 23:00:00,228800.0,234800,659200
1990-05-06 23:00:00,238200.0,229200,692800
1990-05-07 23:00:00,256700.0,267700,648700
1990-05-08 23:00:00,258500.0,255500,663400
1990-05-09 23:00:00,266600.0,270600,650800
1990-05-10 23:00:00,259500.0,259500,652900
1990-05-11 23:00:00,265700.0,263700,667600
1990-05-12 23:00:00,222100.0,230100,657100
1990-05-13 23:00:00,221100.0,214100,665500
1990-05-14 23:00:00,228000.0,231000,652900
1990-05-15 23:00:00,239700.0,239700,642300
1990-05-16 23:00:00,248300.0,242300,659200
1990-05-17 23:00:00,234200.0,232200,669700
1990-05-18 23:00:00,195500.0,193500,678100
