DateTime,Inflow_cfs,Release_cfs,Storage_acft
1990-01-01 00:00:00,11540,9927,1365805.0
1990-01-02 00:00:00,11190,9708,1366758.0
1990-01-03 00:00:00,10980,12180,1360413.0
1990-01-04 00:00:00,10840,15322,1354331.0
1990-01-05 00:00:00,11490,14349,1349022.0
1990-01-06 00:00:00,11720,13732,1345765.0
1990-01-07 00:00:00,11520,11243,1349408.0
1990-01-08 00:00:00,11710,10530,1348545.0
1990-01-09 00:00:00,11760,13630,1344316.0
1990-01-10 00:00:00,13140,14108,1345230.0
1990-01-11 00:00:00,12680,11712,1348634.0
1990-01-12 00:00:00,12870,9956,1352907.0
1990-01-13 00:00:00,12550,9903,1360473.0
1990-01-14 00:00:00,12680,9105,1369901.0
1990-01-15 00:00:00,12230,5590,1375061.0
1990-01-16 00:00:00,12070,14762,1371445.0
1990-01-17 00:00:00,12310,13792,1365811.0
1990-01-18 00:00:00,11220,14951,1357970.0
1990-01-19 00:00:00,11080,15829,1346047.0
1990-01-20 00:00:00,11810,19277,1331090.0
1990-01-21 00:00:00,11400,18705,1320641.0
1990-01-22 00:00:00,11780,13948,1315280.0
1990-01-23 00:00:00,11690,16404,1304096.0
1990-01-24 00:00:00,11360,17032,1289935.0
1990-01-25 00:00:00,11210,19186,1277462.0
1990-01-26 00:00:00,11080,14861,1269581.0
1990-01-27 00:00:00,11450,14621,1263751.0
1990-01-28 00:00:00,10770,14314,1260025.0
1990-01-29 00:00:00,11290,11164,1258406.0
1990-01-30 00:00:00,10840,14228,1250165.0
1990-01-31 00:00:00,11080,16349,1239767.0
1990-02-01 00:00:00,10640,16357,1228405.0
1990-02-02 00:00:00,10540,16131,1215712.0
1990-02-03 00:00:00,11920,19034,1208855.0
1990-02-04 00:00:00,11130,11251,1206747.0
1990-02-05 00:00:00,10720,11572,1202615.0
1990-02-06 00:00:00,11490,16627,1194711.0
1990-02-07 00:00:00,11150,14336,1185615.0
1990-02-08 00:00:00,10080,15217,1176871.0
1990-02-09 00:00:00,10910,15009,1169005.0
1990-02-10 00:00:00,10390,13697,1168925.0
1990-02-11 00:00:00,11850,7948,1176960.0
1990-02-12 00:00:00,11130,6910,1179176.0
1990-02-13 00:00:00,10620,13060,1172730.0
1990-02-14 00:00:00,10490,16172,1158023.0
1990-02-15 00:00:00,10320,18119,1142541.0
1990-02-16 00:00:00,11410,18599,1127515.0
1990-02-17 00:00:00,10750,18958,1116416.0
1990-02-18 00:00:00,10760,11673,1113242.0
1990-02-19 00:00:00,10480,11503,1111571.0
1990-02-20 00:00:00,10220,11586,1105807.0
1990-02-21 00:00:00,9960,13524,1099941.0
1990-02-22 00:00:00,10160,13261,1095992.0
1990-02-23 00:00:00,10520,10636,1094978.0
1990-02-24 00:00:00,10510,11801,1093698.0
1990-02-25 00:00:00,10250,10023,1098412.0
1990-02-26 00:00:00,11250,5901,1105301.0
1990-02-27 00:00:00,10700,9621,1105859.0
1990-02-28 00:00:00,11400,11743,1105071.0
1990-03-01 00:00:00,12250,13606,1104007.0
1990-03-02 00:00:00,12260,12542,1101863.0
1990-03-03 00:00:00,11470,12146,1101257.0
1990-03-04 00:00:00,12540,14289,1099519.0
1990-03-05 00:00:00,13220,13386,1094840.0
1990-03-06 00:00:00,13690,18570,1087851.0
1990-03-07 00:00:00,14330,16004,1083546.0
1990-03-08 00:00:00,13820,15827,1079739.0
1990-03-09 00:00:00,13700,15586,1075735.0
1990-03-10 00:00:00,12570,14284,1075813.0
