DateTime,Inflow_cfs,Release_cfs,Storage_acft
2003-07-09 23:00:00,4200,13900,3404645.0
2003-07-10 23:00:00,3800,14100,3384295.0
2003-07-11 23:00:00,3600,14000,3363575.0
2003-07-12 23:00:00,1700,13200,3340450.0
2003-07-13 23:00:00,2100,13700,3317055.0
2003-07-14 23:00:00,2100,14000,3292635.0
2003-07-15 23:00:00,1800,13900,3268758.0
2003-07-16 23:00:00,1900,13800,3245716.0
2003-07-17 23:00:00,2100,14000,3222277.0
2003-07-18 23:00:00,2200,14000,3199184.0
2003-07-19 23:00:00,2000,13900,3175367.0
2003-07-20 23:00:00,2000,13900,3151608.0
2003-07-21 23:00:00,1700,12900,3128730.0
2003-07-22 23:00:00,1400,13200,3104873.0
2003-07-23 23:00:00,1200,13300,3081401.0
2003-07-24 23:00:00,1400,11800,3061189.0
2003-07-25 23:00:00,1200,12200,3039347.0
2003-07-26 23:00:00,1700,12200,3018483.0
2003-07-27 23:00:00,1600,12200,2997293.0
2003-07-28 23:00:00,1600,12100,2976103.0
2003-07-29 23:00:00,2700,11800,2957684.0
2003-07-30 23:00:00,1200,11800,2936502.0
2003-07-31 23:00:00,1000,11800,2915488.0
2003-08-01 23:00:00,1100,11900,2894416.0
2003-08-02 23:00:00,1000,11900,2873054.0
2003-08-03 23:00:00,2000,11900,2853176.0
2003-08-04 23:00:00,1800,11900,2832762.0
2003-08-05 23:00:00,600,10000,2813860.0
2003-08-06 23:00:00,1200,10000,2795836.0
2003-08-07 23:00:00,1000,10000,2778186.0
2003-08-08 23:00:00,1000,9900,2760550.0
2003-08-09 23:00:00,800,10100,2742280.0
2003-08-10 23:00:00,700,10100,2723865.0
2003-08-11 23:00:00,900,10100,2705640.0
2003-08-12 23:00:00,900,10100,2687225.0
2003-08-13 23:00:00,900,10100,2668748.0
2003-08-14 23:00:00,700,10100,2649715.0
2003-08-15 23:00:00,400,10200,2630511.0
2003-08-16 23:00:00,700,10200,2611899.0
2003-08-17 23:00:00,700,10200,2593146.0
2003-08-18 23:00:00,600,10200,2574011.0
2003-08-19 23:00:00,700,8400,2558642.0
2003-08-20 23:00:00,600,7100,2545811.0
2003-08-21 23:00:00,600,7100,2532980.0
2003-08-22 23:00:00,700,7100,2520149.0
2003-08-23 23:00:00,1200,7100,2508305.0
2003-08-24 23:00:00,1000,7100,2496366.0
2003-08-25 23:00:00,800,7100,2470884.0
2003-08-26 23:00:00,400,7100,2470884.0
2003-08-27 23:00:00,900,7200,2458417.0
2003-08-28 23:00:00,400,7100,2445128.0
2003-08-29 23:00:00,500,7200,2431892.0
2003-08-30 23:00:00,800,7200,2419198.0
2003-08-31 23:00:00,300,7200,2405498.0
2003-09-01 23:00:00,500,7200,2392072.0
2003-09-02 23:00:00,600,7300,2378646.0
2003-09-03 23:00:00,400,7000,2365513.0
2003-09-04 23:00:00,500,7200,2352252.0
2003-09-05 23:00:00,600,7200,2339146.0
2003-09-06 23:00:00,400,7300,2325447.0
2003-09-07 23:00:00,800,7300,2311000.0
2003-09-08 23:00:00,1900,7300,2300144.0
2003-09-09 23:00:00,1000,7300,2287509.0
2003-09-10 23:00:00,600,7300,2274076.0
2003-09-11 23:00:00,600,7000,2261332.0
2003-09-12 23:00:00,1300,4700,2254600.0
2003-09-13 23:00:00,1200,4700,2247443.0
2003-09-14 23:00:00,800,4700,2239596.0
2003-09-15 23:00:00,900,1600,2238133.0
2003-09-16 23:00:00,1000,1600,2236992.0
2003-09-17 23:00:00,1400,1600,2236488.0
2003-09-18 23:00:00,1300,1600,2235858.0
2003-09-19 23:00:00,800,1600,2234220.0
2003-09-20 23:00:00,1000,1600,2233086.0
2003-09-21 23:00:00,1000,1600,2231826.0
2003-09-22 23:00:00,800,1600,2230314.0
2003-09-23 23:00:00,900,1600,2229054.0
2003-09-24 23:00:00,900,1600,2227668.0
2003-09-25 23:00:00,700,1600,2226030.0
2003-09-26 23:00:00,800,1900,2224003.0
2003-09-27 23:00:00,900,1600,2222606.0
2003-09-28 23:00:00,800,1600,2221082.0
2003-09-29 23:00:00,800,1600,2219558.0
2003-09-30 23:00:00,500,1600,2217399.0
2003-10-01 23:00:00,800,1600,2215875.0
2003-10-02 23:00:00,700,1600,2214097.0
2003-10-03 23:00:00,800,1700,2212322.0
2003-10-05 23:00:00,900,1700,2209046.0
2003-10-06 23:00:00,700,1700,2207156.0
2003-10-07 23:00:00,600,1700,2205014.0
2003-10-08 23:00:00,700,1700,2203250.0
2003-10-09 23:00:00,900,1700,2201738.0
2003-10-10 23:00:00,900,1700,2200226.0
2003-10-11 23:00:00,500,1700,2197598.0
2003-10-12 23:00:00,1200,1700,2196486.0
2003-10-13 23:00:00,1700,1700,2196486.0
2003-10-14 23:00:00,1400,1700,2195930.0
2003-10-15 23:00:00,1400,1700,2195374.0
2003-10-16 23:00:00,1900,1700,2195791.0
2003-10-17 23:00:00,1800,1600,2196347.0
2003-10-18 23:00:00,1300,1600,2195791.0
2003-10-19 23:00:00,900,1600,2194401.0
2003-10-20 23:00:00,1100,1600,2193428.0
2003-10-21 23:00:00,1100,1500,2192455.0
2003-10-22 23:00:00,900,1600,2191065.0
2003-10-23 23:00:00,800,1600,2189397.0
2003-10-24 23:00:00,900,1600,2188285.0
2003-10-25 23:00:00,800,1600,2186617.0
2003-10-26 23:00:00,1000,1600,2185522.0
2003-10-27 00:00:00,1000,1600,2185522.0
2003-10-27 23:00:00,700,1600,2183940.0
2003-10-28 00:00:00,700,1600,2183940.0
2003-10-28 23:00:00,900,1600,2182584.0
2003-10-29 00:00:00,900,1600,2182584.0
2003-10-29 23:00:00,3600,1600,2185635.0
2003-10-30 00:00:00,3600,1600,2185974.0
2003-10-30 23:00:00,1800,1600,2186200.0
2003-10-31 00:00:00,1800,1600,2186200.0
2003-10-31 23:00:00,1100,1600,2185409.0
2003-11-01 00:00:00,1100,1600,2185183.0
2003-11-01 23:00:00,900,1600,2183940.0
2003-11-02 00:00:00,900,1600,2183940.0
2003-11-02 23:00:00,900,1600,2182584.0
2003-11-03 00:00:00,900,1600,2182584.0
2003-11-03 23:00:00,1000,1900,2181002.0
2003-11-04 00:00:00,1000,1900,2181002.0
2003-11-04 23:00:00,1000,1600,2179872.0
2003-11-05 00:00:00,1000,1600,2179872.0
2003-11-05 23:00:00,800,1700,2178403.0
2003-11-06 00:00:00,800,1700,2178290.0
2003-11-06 23:00:00,600,1700,2176369.0
2003-11-07 00:00:00,600,1700,2176369.0
2003-11-07 23:00:00,600,1700,2174392.0
2003-11-08 00:00:00,600,1700,2174265.0
2003-11-08 23:00:00,800,1700,2172741.0
2003-11-09 00:00:00,800,1700,2172487.0
2003-11-09 23:00:00,1200,1600,2171598.0
2003-11-10 00:00:00,1200,1600,2171598.0
2003-11-10 23:00:00,1400,1700,2171090.0
2003-11-11 00:00:00,1400,1700,2171090.0
2003-11-11 23:00:00,3400,1700,2174646.0
2003-11-12 00:00:00,3400,1700,2174646.0
2003-11-12 23:00:00,2500,1700,2176143.0
2003-11-13 00:00:00,2500,1700,2176143.0
2003-11-13 23:00:00,1600,1700,2176030.0
2003-11-14 00:00:00,1600,1700,2176030.0
2003-11-14 23:00:00,1300,1700,2175578.0
2003-11-15 00:00:00,1300,1700,2175465.0
2003-11-15 23:00:00,1200,1700,2174646.0
2003-11-16 00:00:00,1200,1700,2174646.0
2003-11-16 23:00:00,1500,1700,2174265.0
2003-11-17 00:00:00,1500,1700,2174265.0
2003-11-17 23:00:00,1800,1700,2174392.0
2003-11-18 00:00:00,1800,1700,2174519.0
2003-11-18 23:00:00,2400,1700,2175691.0
2003-11-19 00:00:00,2400,1700,2175917.0
2003-11-19 23:00:00,1800,1700,2176482.0
2003-11-20 00:00:00,1800,1700,2176595.0
2003-11-20 23:00:00,2400,1600,2177951.0
2003-11-21 00:00:00,2400,1600,2177951.0
2003-11-21 23:00:00,1700,1700,2177951.0
2003-11-22 00:00:00,1700,1700,2177951.0
2003-11-22 23:00:00,1500,1700,2177612.0
2003-11-23 00:00:00,1500,1700,2177612.0
2003-11-24 23:00:00,1200,1700,2176256.0
2003-11-25 00:00:00,1200,1700,2176256.0
2003-11-25 23:00:00,1300,1700,2175691.0
2003-11-26 00:00:00,1300,1700,2175691.0
2003-11-26 23:00:00,1400,1700,2175239.0
2003-11-27 00:00:00,1400,1700,2175239.0
2003-11-27 23:00:00,1300,1700,2174646.0
2003-11-28 00:00:00,1300,1700,2174646.0
2003-11-28 23:00:00,1300,1700,2174011.0
2003-11-29 00:00:00,1300,1700,2175352.0
2003-11-29 23:00:00,2500,1600,2175239.0
2003-11-30 00:00:00,2500,1600,2175352.0
2003-11-30 23:00:00,2700,1600,2177273.0
2003-12-01 00:00:00,2700,1600,2177273.0
2003-12-01 23:00:00,2300,1600,2178516.0
2003-12-02 00:00:00,2300,1600,2178516.0
2003-12-02 23:00:00,2900,1600,2180776.0
2003-12-03 00:00:00,2900,1600,2180776.0
2003-12-03 23:00:00,3200,1600,2183601.0
2003-12-04 00:00:00,3200,1600,2183601.0
2003-12-04 23:00:00,2700,1600,2185409.0
2003-12-05 00:00:00,2700,1600,2185522.0
2003-12-05 23:00:00,2300,1600,2186617.0
2003-12-06 00:00:00,2300,1600,2186756.0
2003-12-06 23:00:00,3500,1600,2190787.0
2003-12-07 00:00:00,3500,1600,2190926.0
2003-12-07 23:00:00,3600,1600,2195235.0
2003-12-08 00:00:00,3600,1600,2195374.0
2003-12-08 23:00:00,2600,1600,2197459.0
2003-12-09 00:00:00,2600,1600,2197598.0
2003-12-09 23:00:00,2700,1600,2199544.0
2003-12-10 00:00:00,2700,1600,2199961.0
2003-12-10 23:00:00,2000,1600,2200478.0
2003-12-11 00:00:00,2000,1600,2200730.0
2003-12-11 23:00:00,2100,1600,4190.0
