DateTime,Inflow_cfs,Release_cfs,Storage_acft
1990-01-01 00:00:00,21900,21200,406463
1990-01-02 00:00:00,18900,18900,402001
1990-01-03 00:00:00,22200,20000,405124
1990-01-04 00:00:00,21400,23300,402179
1990-01-05 00:00:00,25600,23800,403339
1990-01-06 00:00:00,24800,25200,402893
1990-01-07 00:00:00,24700,24800,400841
1990-01-08 00:00:00,18000,18100,398878
1990-01-09 00:00:00,23000,22700,404410
1990-01-10 00:00:00,33400,35700,406284
1990-01-11 00:00:00,34300,33300,399681
1990-01-12 00:00:00,28500,28600,403607
1990-01-13 00:00:00,27800,28000,403786
1990-01-14 00:00:00,25100,24100,405303
1990-01-15 00:00:00,20500,21000,404500
1990-01-16 00:00:00,27200,26200,407176
1990-01-17 00:00:00,25900,26600,403339
1990-01-18 00:00:00,27400,25500,404856
1990-01-19 00:00:00,31300,31700,404321
1990-01-20 00:00:00,27500,29400,400216
1990-01-21 00:00:00,28300,25400,405303
1990-01-22 00:00:00,28200,30100,404856
1990-01-23 00:00:00,26300,24900,397986
1990-01-24 00:00:00,27600,28300,408604
1990-01-25 00:00:00,29000,30300,403339
1990-01-26 00:00:00,32300,30300,400127
1990-01-27 00:00:00,23100,23200,403964
1990-01-28 00:00:00,26200,26100,404767
1990-01-29 00:00:00,20500,20700,402536
1990-01-30 00:00:00,18500,23400,401555
1990-01-31 00:00:00,25500,23800,399146
1990-02-01 00:00:00,32400,27700,395398
1990-02-02 00:00:00,26800,28100,406284
1990-02-03 00:00:00,26700,25400,406641
1990-02-04 00:00:00,20600,21300,402179
1990-02-05 00:00:00,14400,14900,402983
1990-02-06 00:00:00,26900,25800,410478
1990-02-07 00:00:00,29000,28900,407266
1990-02-08 00:00:00,25200,26400,403696
1990-02-09 00:00:00,22200,24500,405124
1990-02-10 00:00:00,28000,26300,403786
1990-02-11 00:00:00,17700,16900,399503
1990-02-12 00:00:00,36800,37000,405303
1990-02-13 00:00:00,37500,38800,403518
1990-02-14 00:00:00,36300,37100,399949
1990-02-15 00:00:00,46600,46300,399324
1990-02-16 00:00:00,48300,51700,400841
1990-02-17 00:00:00,29600,27800,391472
1990-02-18 00:00:00,39200,36700,403072
1990-02-19 00:00:00,31600,28000,396379
1990-02-20 00:00:00,31200,36200,403072
1990-02-21 00:00:00,33500,33300,398610
1990-02-22 00:00:00,30600,28200,405570
1990-02-23 00:00:00,31900,32400,399503
1990-02-24 00:00:00,32100,32300,406463
1990-02-25 00:00:00,37700,35400,402715
1990-02-26 00:00:00,28800,30600,408693
1990-02-27 00:00:00,36500,36800,402179
1990-02-28 00:00:00,35500,36400,404856
1990-03-01 00:00:00,35000,34600,399859
1990-03-02 00:00:00,34900,37100,400573
1990-03-03 00:00:00,30000,32200,395041
1990-03-04 00:00:00,32000,30800,394149
1990-03-05 00:00:00,30700,30000,395933
1990-03-06 00:00:00,40800,37000,396201
1990-03-07 00:00:00,40100,41500,398610
1990-03-08 00:00:00,36400,38300,395933
1990-03-09 00:00:00,37500,36500,400841
1990-03-10 00:00:00,37900,35000,397718
1990-03-11 00:00:00,38300,38300,403072
1990-03-12 00:00:00,39100,43400,398610
1990-03-13 00:00:00,48800,49600,391025
1990-03-14 00:00:00,45200,44900,391472
1990-03-15 00:00:00,36700,37000,391025
1990-03-16 00:00:00,46500,42600,398164
1990-03-17 00:00:00,38900,40700,392364
1990-03-18 00:00:00,33100,32500,398610
1990-03-19 00:00:00,23600,27100,396379
1990-03-20 00:00:00,37200,35500,391918
1990-03-21 00:00:00,42400,44700,393256
1990-03-22 00:00:00,54800,49000,395487
1990-03-23 00:00:00,51300,53400,405303
1990-03-24 00:00:00,49100,46600,401287
1990-03-25 00:00:00,41900,45700,401287
1990-03-26 00:00:00,36900,38200,395041
1990-03-27 00:00:00,44200,44200,397450
1990-03-28 00:00:00,40400,40100,399056
1990-03-29 00:00:00,36900,37500,396112
1990-03-30 00:00:00,43100,41600,401555
1990-03-31 00:00:00,42000,42900,401109
1990-04-01 00:00:00,36700,37300,396379
1990-04-01 23:00:00,28800,28700,396647
1990-04-02 23:00:00,38600,38300,391829
1990-04-03 23:00:00,39300,36700,402179
1990-04-04 23:00:00,51700,52400,402179
1990-04-05 23:00:00,56300,56400,395933
1990-04-06 23:00:00,54000,57800,397718
1990-04-07 23:00:00,47900,42600,397718
1990-04-08 23:00:00,45500,45200,398610
1990-04-09 23:00:00,47600,48600,403072
1990-04-10 23:00:00,48700,49400,398521
1990-04-11 23:00:00,48400,48600,394416
1990-04-12 23:00:00,37500,38000,394149
1990-04-13 23:00:00,47300,47800,395309
1990-04-14 23:00:00,45700,44600,393435
1990-04-15 23:00:00,54700,51700,393524
1990-04-16 23:00:00,63200,65100,393970
1990-04-17 23:00:00,64000,65500,391561
1990-04-18 23:00:00,63200,65500,393256
1990-04-19 23:00:00,66100,65300,391739
1990-04-20 23:00:00,66300,65300,389687
1990-04-21 23:00:00,65900,65600,391115
1990-04-22 23:00:00,69000,67000,392632
1990-04-23 23:00:00,74200,74300,400395
1990-04-24 23:00:00,75100,73500,398521
1990-04-25 23:00:00,73300,76800,406016
1990-04-26 23:00:00,62800,63300,404500
1990-04-27 23:00:00,62500,63100,401109
1990-04-28 23:00:00,53300,53400,394684
1990-04-29 23:00:00,76300,76100,395219
1990-04-30 23:00:00,60000,58500,398075
1990-05-01 23:00:00,57700,57300,401555
1990-05-02 23:00:00,61800,63100,401287
1990-05-03 23:00:00,59500,61800,395487
1990-05-04 23:00:00,66800,65700,393524
1990-05-05 23:00:00,61800,57300,400395
1990-05-06 23:00:00,61900,62900,402179
1990-05-07 23:00:00,77000,77300,408426
1990-05-08 23:00:00,82400,81100,403250
1990-05-09 23:00:00,85700,88100,403964
1990-05-10 23:00:00,88200,89700,410032
1990-05-11 23:00:00,87700,88300,394149
1990-05-12 23:00:00,85000,81900,400038
1990-05-13 23:00:00,85000,89000,393167
1990-05-14 23:00:00,82600,79800,392810
1990-05-15 23:00:00,81200,79000,401733
1990-05-16 23:00:00,48500,53500,395933
1990-05-17 23:00:00,44600,41900,392810
1990-05-18 23:00:00,48000,46900,393256
1990-05-19 23:00:00,47800,46600,395041
1990-05-20 23:00:00,40300,41600,396379
1990-05-21 23:00:00,45400,44200,395576
1990-05-22 23:00:00,41100,41300,394059
1990-05-23 23:00:00,39800,41800,398878
1990-05-24 23:00:00,49500,52800,398075
1990-05-25 23:00:00,80000,75200,402804
1990-05-26 23:00:00,71200,70400,401555
1990-05-27 23:00:00,63500,64800,401555
1990-05-28 23:00:00,73700,73200,406373
1990-05-29 23:00:00,80700,80200,409050
1990-05-30 23:00:00,117900,118000,406820
1990-05-31 23:00:00,126700,125000,403072
1990-06-01 23:00:00,79000,79400,400841
1990-06-02 23:00:00,111300,108000,409407
1990-06-03 23:00:00,93400,95200,399503
1990-06-04 23:00:00,98600,98500,398610
1990-06-05 23:00:00,100300,100000,410300
1990-06-06 23:00:00,93800,99300,394149
1990-06-07 23:00:00,97900,95000,397718
1990-06-08 23:00:00,91100,90900,398521
1990-06-09 23:00:00,83300,83100,387724
1990-06-10 23:00:00,79000,79400,400841
1990-06-11 23:00:00,91100,89400,393167
1990-06-12 23:00:00,96300,101000,400395
1990-06-13 23:00:00,92200,87200,403518
1990-06-14 23:00:00,86500,86600,397718
1990-06-15 23:00:00,74300,76200,398164
1990-06-16 23:00:00,71100,70400,394149
1990-06-17 23:00:00,64300,66400,394149
1990-06-18 23:00:00,66000,65100,402804
1990-06-19 23:00:00,66800,66200,401466
1990-06-20 23:00:00,66500,65000,396112
1990-06-21 23:00:00,70400,75000,390936
1990-06-22 23:00:00,59700,57900,398610
1990-06-23 23:00:00,73100,71100,394595
1990-06-24 23:00:00,60100,62300,395576
1990-06-25 23:00:00,67800,66300,398610
1990-06-26 23:00:00,62600,62200,394149
1990-06-27 23:00:00,52300,52700,402179
1990-06-28 23:00:00,61900,61100,395933
1990-06-29 23:00:00,52900,56000,395933
1990-06-30 23:00:00,44100,39200,395933
1990-07-01 23:00:00,33700,37100,399949
1990-07-02 23:00:00,40400,39000,398610
1990-07-03 23:00:00,42000,41300,394327
1990-07-04 23:00:00,37500,36400,398789
1990-07-05 23:00:00,36100,38700,397986
1990-07-06 23:00:00,33900,30600,396915
1990-07-07 23:00:00,36600,36100,396290
1990-07-08 23:00:00,18300,23900,395576
1990-07-09 23:00:00,39300,36600,399146
1990-07-10 23:00:00,30100,29700,391293
1990-07-11 23:00:00,33200,37800,395130
1990-07-12 23:00:00,18300,16800,398164
1990-07-13 23:00:00,27800,27400,394149
1990-07-14 23:00:00,22200,23600,397718
1990-07-15 23:00:00,15900,14900,395933
1990-07-16 23:00:00,21700,19800,398164
1990-07-17 23:00:00,17700,19300,395933
1990-07-18 23:00:00,18600,18200,400306
1990-07-19 23:00:00,20600,19800,402001
1990-07-20 23:00:00,21800,22800,400306
1990-07-21 23:00:00,17200,16300,399146
1990-07-22 23:00:00,18400,20100,396290
1990-07-23 23:00:00,18300,15300,390133
1990-07-24 23:00:00,14500,18300,394149
1990-07-25 23:00:00,23800,23800,388795
1990-07-26 23:00:00,21400,20500,393256
1990-07-27 23:00:00,24600,23200,394149
1990-07-28 23:00:00,21700,20500,394149
1990-07-29 23:00:00,17100,16700,397361
1990-07-30 23:00:00,18200,18700,392989
1990-07-31 23:00:00,18300,19300,400841
1990-08-01 23:00:00,18300,20200,402358
1990-08-02 23:00:00,18100,15000,403518
1990-08-03 23:00:00,23200,20200,406730
1990-08-04 23:00:00,21200,20500,408426
1990-08-05 23:00:00,20100,19100,387724
1990-08-06 23:00:00,18700,24500,393256
1990-08-07 23:00:00,22100,19800,390669
1990-08-08 23:00:00,17300,20500,391472
1990-08-09 23:00:00,17100,17800,392364
1990-08-10 23:00:00,18100,15800,395041
1990-08-11 23:00:00,9500,11800,391472
1990-08-12 23:00:00,12800,11800,393256
1990-08-13 23:00:00,14600,14600,390579
1990-08-14 23:00:00,15100,13900,393970
1990-08-15 23:00:00,14500,15200,397093
1990-08-16 23:00:00,14400,11700,397986
1990-08-17 23:00:00,12100,11600,396290
1990-08-18 23:00:00,13100,13900,394684
1990-08-19 23:00:00,10800,11700,397361
1990-08-20 23:00:00,8500,11400,396379
1990-08-21 23:00:00,22300,21900,399949
1990-08-22 23:00:00,19800,17600,403072
1990-08-23 23:00:00,18000,18100,401287
1990-08-24 23:00:00,24000,24000,399056
1990-08-25 23:00:00,20300,20300,401287
1990-08-26 23:00:00,14500,13800,399503
1990-08-27 23:00:00,22900,23600,398164
1990-08-28 23:00:00,20200,24300,385939
1990-08-29 23:00:00,29500,27500,402179
1990-08-30 23:00:00,21700,19100,400395
1990-09-01 23:00:00,21400,21400,406463
1990-09-02 23:00:00,22100,22100,408872
1990-09-03 23:00:00,18600,19200,405838
1990-09-04 23:00:00,26000,25500,404500
1990-09-05 23:00:00,35400,33700,404856
1990-09-06 23:00:00,27400,26900,406016
1990-09-07 23:00:00,22600,24700,405749
1990-09-08 23:00:00,33700,34500,403072
1990-09-09 23:00:00,25700,23900,402179
1990-09-10 23:00:00,26300,25700,403072
1990-09-11 23:00:00,32600,33400,406820
1990-09-12 23:00:00,29400,28500,403786
1990-09-13 23:00:00,30000,30600,405570
1990-09-14 23:00:00,31400,31200,404767
1990-09-15 23:00:00,25900,26200,408426
1990-09-16 23:00:00,20900,19100,406730
1990-09-17 23:00:00,27700,28400,407176
1990-09-18 23:00:00,25400,27100,404856
1990-09-19 23:00:00,24900,24200,404856
1990-09-20 23:00:00,25700,24600,406641
1990-09-21 23:00:00,22400,24500,405749
1990-09-22 23:00:00,26600,25600,403964
1990-09-23 23:00:00,26500,25800,407087
1990-09-24 23:00:00,29900,30300,405749
1990-09-25 23:00:00,22300,24800,401376
1990-09-26 23:00:00,20700,18800,403072
1990-09-27 23:00:00,23500,21400,406195
1990-09-28 23:00:00,24700,26400,403696
1990-09-29 23:00:00,24000,23800,403250
1990-09-30 23:00:00,24900,24100,403072
1990-10-01 23:00:00,19500,19300,404589
1990-10-02 23:00:00,16400,16800,406016
1990-10-03 23:00:00,15700,16100,403339
1990-10-04 23:00:00,19400,18400,407176
1990-10-05 23:00:00,19300,20300,404321
1990-10-06 23:00:00,20600,21100,403964
1990-10-07 23:00:00,19300,19300,403072
1990-10-08 23:00:00,26400,23900,407980
1990-10-09 23:00:00,31900,32500,401287
1990-10-10 23:00:00,16700,17700,404143
1990-10-11 23:00:00,20300,22600,403072
1990-10-12 23:00:00,16300,15000,403518
1990-10-13 23:00:00,17900,19200,403339
1990-10-14 23:00:00,18900,17900,403250
1990-10-15 23:00:00,18900,21700,400484
1990-10-16 23:00:00,17900,16400,400306
1990-10-17 23:00:00,20900,20800,401376
1990-10-18 23:00:00,22900,20800,400841
1990-10-19 23:00:00,18800,19400,403964
1990-10-20 23:00:00,20800,21800,408158
1990-10-21 23:00:00,21400,20500,403696
1990-10-22 23:00:00,20300,20700,405927
1990-10-23 23:00:00,20700,18900,405303
1990-10-24 23:00:00,21800,22800,406373
1990-10-25 23:00:00,20300,19700,405035
1990-10-26 23:00:00,21000,20500,407355
1990-10-27 23:00:00,18100,19100,406016
1990-10-29 00:00:00,19700,20700,405035
1990-10-30 00:00:00,23000,21600,408783
1990-10-31 00:00:00,18800,20400,408426
1990-11-01 00:00:00,20800,19400,405749
1990-11-02 00:00:00,19300,18800,406641
1990-11-03 00:00:00,21000,21300,406195
1990-11-04 00:00:00,23200,23900,405303
1990-11-05 00:00:00,19100,18400,407533
1990-11-06 00:00:00,20500,20800,403964
1990-11-07 00:00:00,31900,31300,400484
1990-11-08 00:00:00,27500,29300,403072
1990-11-09 00:00:00,26600,25900,403339
1990-11-10 00:00:00,18800,20700,404500
1990-11-11 00:00:00,22700,21500,404678
1990-11-12 00:00:00,24400,24800,403786
1990-11-13 00:00:00,21000,19200,404232
1990-11-14 00:00:00,19600,21000,406195
1990-11-15 00:00:00,22700,23100,404678
1990-11-16 00:00:00,24200,23700,405124
1990-11-17 00:00:00,26400,25500,403607
1990-11-18 00:00:00,19800,19000,404678
1990-11-19 00:00:00,19300,19900,408247
1990-11-20 00:00:00,24900,25300,402179
