DateTime,Inflow_cfs,Release_cfs,Storage_acft
1990-01-01 00:00:00,102900,103000,28557
1990-01-02 00:00:00,94800,92600,28371
1990-01-03 00:00:00,113700,111000,31593
1990-01-04 00:00:00,140200,132000,39407
1990-01-05 00:00:00,146900,147000,42319
1990-01-06 00:00:00,135000,137000,42319
1990-01-07 00:00:00,108700,115000,27317
1990-01-08 00:00:00,105900,108000,25085
1990-01-09 00:00:00,105300,103000,23954
1990-01-10 00:00:00,122200,125000,23765
1990-01-11 00:00:00,131100,131000,23637
1990-01-12 00:00:00,118700,117000,24395
1990-01-13 00:00:00,106800,108000,24080
1990-01-14 00:00:00,117500,119000,24269
1990-01-15 00:00:00,82800,84900,23010
1990-01-16 00:00:00,122900,115000,30852
1990-01-17 00:00:00,128700,128000,31409
1990-01-18 00:00:00,127600,127000,31655
1990-01-19 00:00:00,128400,130000,31469
1990-01-20 00:00:00,123800,121000,27440
1990-01-21 00:00:00,127500,127000,34819
1990-01-22 00:00:00,117600,121000,30852
1990-01-23 00:00:00,117900,116000,30479
1990-01-24 00:00:00,136000,130000,35810
1990-01-25 00:00:00,127600,134000,38478
1990-01-26 00:00:00,128900,134000,36431
1990-01-27 00:00:00,137400,133000,41391
1990-01-28 00:00:00,135500,139000,40709
1990-01-29 00:00:00,126900,130000,33890
1990-01-30 00:00:00,115400,120000,26076
1990-01-31 00:00:00,132400,128000,23387
1990-02-01 00:00:00,161100,152000,45878
1990-02-02 00:00:00,145200,148000,43314
1990-02-03 00:00:00,132500,134000,37857
1990-02-04 00:00:00,131000,130000,42011
1990-02-05 00:00:00,111700,117000,33269
1990-02-06 00:00:00,107000,106000,35254
1990-02-07 00:00:00,119900,120000,26511
1990-02-08 00:00:00,163000,150000,44536
1990-02-09 00:00:00,165500,165000,44598
1990-02-10 00:00:00,127100,136000,32957
1990-02-11 00:00:00,123000,121000,35129
1990-02-12 00:00:00,104100,104000,37176
1990-02-13 00:00:00,128500,129000,32464
1990-02-14 00:00:00,128800,130000,30355
1990-02-15 00:00:00,152400,139000,39592
1990-02-16 00:00:00,172700,170000,43741
1990-02-17 00:00:00,183900,183000,43558
1990-02-18 00:00:00,138100,145000,44231
1990-02-19 00:00:00,141900,136000,43190
1990-02-20 00:00:00,162600,160000,44353
1990-02-21 00:00:00,169500,168000,45207
1990-02-22 00:00:00,160600,161000,44840
1990-02-23 00:00:00,136900,137000,44170
1990-02-24 00:00:00,136000,135000,41329
1990-02-25 00:00:00,133600,132000,44292
1990-02-26 00:00:00,127700,133000,33019
1990-02-27 00:00:00,132400,128000,38290
1990-02-28 00:00:00,132900,130000,38788
1990-03-01 00:00:00,129100,125000,44170
1990-03-02 00:00:00,160500,157000,44598
1990-03-03 00:00:00,137500,137000,43376
1990-03-04 00:00:00,129500,133000,36059
1990-03-05 00:00:00,110300,113000,31100
1990-03-06 00:00:00,118500,118000,28866
1990-03-07 00:00:00,132600,130000,29673
1990-03-08 00:00:00,130500,131000,27938
1990-03-09 00:00:00,147800,133000,31843
1990-03-10 00:00:00,171100,169000,44475
1990-03-11 00:00:00,133100,137000,42569
1990-03-12 00:00:00,128300,129000,40338
1990-03-13 00:00:00,132700,132000,35005
1990-03-14 00:00:00,130500,129000,37176
1990-03-15 00:00:00,132200,133000,34695
1990-03-16 00:00:00,130800,131000,32588
1990-03-17 00:00:00,144300,135000,37485
1990-03-18 00:00:00,137900,136000,43376
1990-03-19 00:00:00,136200,136000,45025
1990-03-20 00:00:00,122000,130000,33641
1990-03-21 00:00:00,144300,133000,29488
1990-03-22 00:00:00,151000,151000,44659
1990-03-23 00:00:00,143400,141000,42941
1990-03-24 00:00:00,166900,164000,41329
1990-03-25 00:00:00,156700,156000,43987
1990-03-26 00:00:00,155600,154000,44536
1990-03-27 00:00:00,155300,152000,44109
1990-03-28 00:00:00,168200,165000,44779
1990-03-29 00:00:00,173000,177000,37176
1990-03-30 00:00:00,172600,179000,22505
1990-03-31 00:00:00,139100,135000,18290
1990-04-01 00:00:00,120700,124000,27131
1990-04-01 23:00:00,148300,134900,40214
1990-04-02 23:00:00,165600,165600,44109
1990-04-03 23:00:00,185900,185900,43987
1990-04-04 23:00:00,146600,146200,42073
1990-04-05 23:00:00,136300,136800,41888
1990-04-06 23:00:00,137300,137400,42631
1990-04-07 23:00:00,160300,159700,43004
1990-04-08 23:00:00,143100,144700,36617
1990-04-09 23:00:00,143400,142300,43066
1990-04-10 23:00:00,160500,161000,43314
1990-04-11 23:00:00,155400,154600,28309
1990-04-12 23:00:00,151100,154200,25085
1990-04-13 23:00:00,139800,144700,27876
1990-04-14 23:00:00,126700,125400,33579
1990-04-15 23:00:00,88700,91400,32588
1990-04-16 23:00:00,96000,94600,29735
1990-04-17 23:00:00,139300,131700,32895
1990-04-18 23:00:00,142300,142100,34136
1990-04-19 23:00:00,143700,143800,31285
1990-04-20 23:00:00,161400,161200,44353
1990-04-21 23:00:00,126500,139100,29000
1990-04-22 23:00:00,116300,116200,21308
1990-04-23 23:00:00,149600,149000,19417
1990-04-24 23:00:00,156600,157000,20552
1990-04-25 23:00:00,176100,177600,22062
1990-04-26 23:00:00,191200,189400,24648
1990-04-27 23:00:00,177200,175600,21750
1990-04-28 23:00:00,138000,139900,22757
1990-04-29 23:00:00,117600,116700,14569
1990-04-30 23:00:00,139500,132800,31347
1990-05-01 23:00:00,142800,150500,19480
1990-05-02 23:00:00,169000,158600,36741
1990-05-03 23:00:00,183700,184100,43865
1990-05-04 23:00:00,183700,182300,44779
1990-05-05 23:00:00,155800,165500,24017
1990-05-06 23:00:00,152700,155900,23387
1990-05-07 23:00:00,180200,166200,39469
1990-05-08 23:00:00,187700,188400,44659
1990-05-09 23:00:00,141800,146800,32278
1990-05-10 23:00:00,130100,131300,31160
1990-05-11 23:00:00,112700,110200,32340
1990-05-12 23:00:00,117700,113700,40152
1990-05-13 23:00:00,116800,117900,40461
1990-05-14 23:00:00,143300,146600,26573
1990-05-15 23:00:00,155100,149600,44109
1990-05-16 23:00:00,163300,162900,34943
1990-05-17 23:00:00,160700,163100,43314
1990-05-18 23:00:00,175700,173000,43865
1990-05-19 23:00:00,141500,148500,34383
1990-05-20 23:00:00,127300,127900,30790
1990-05-21 23:00:00,143000,140900,39097
1990-05-22 23:00:00,161300,156800,37547
1990-05-23 23:00:00,168300,167000,38726
1990-05-24 23:00:00,157000,160700,42445
1990-05-25 23:00:00,139600,148700,30479
1990-05-26 23:00:00,108800,103600,33766
1990-05-27 23:00:00,125700,126300,33703
1990-05-28 23:00:00,128300,122000,30541
1990-05-29 23:00:00,145500,144600,39779
1990-05-30 23:00:00,178300,179500,43436
1990-05-31 23:00:00,192500,190800,44292
1990-06-01 23:00:00,221400,221100,42507
1990-06-02 23:00:00,195100,195500,43376
1990-06-03 23:00:00,155100,158800,29116
1990-06-04 23:00:00,171000,168500,27317
1990-06-05 23:00:00,228600,227600,43066
1990-06-06 23:00:00,251500,251600,42631
1990-06-07 23:00:00,248500,249100,43066
1990-06-09 23:00:00,257500,257700,42693
1990-06-10 23:00:00,206100,206600,44170
1990-06-11 23:00:00,197200,196400,43865
1990-06-12 23:00:00,267400,267900,42817
1990-06-13 23:00:00,268500,268000,44720
1990-06-14 23:00:00,248800,250000,41018
1990-06-15 23:00:00,257000,257500,40956
1990-06-16 23:00:00,232700,233600,40771
1990-06-17 23:00:00,225500,226700,40461
1990-06-18 23:00:00,240000,239200,40461
1990-06-19 23:00:00,228500,226300,36990
1990-06-20 23:00:00,211000,212300,41516
1990-06-21 23:00:00,221800,219900,40833
1990-06-22 23:00:00,205400,205400,38726
1990-06-23 23:00:00,180400,183800,34881
1990-06-24 23:00:00,192500,189700,42755
1990-06-25 23:00:00,179500,179800,40461
1990-06-26 23:00:00,224700,225200,38105
1990-06-27 23:00:00,240700,240000,42319
1990-06-28 23:00:00,220800,220000,43558
1990-06-29 23:00:00,214800,215200,39779
1990-06-30 23:00:00,195400,195000,43252
1990-07-01 23:00:00,212200,212200,43190
1990-07-02 23:00:00,200000,200700,41205
1990-07-03 23:00:00,189300,189700,43926
1990-07-04 23:00:00,192600,192400,43128
1990-07-05 23:00:00,192000,191000,44109
1990-07-06 23:00:00,196800,197500,44292
1990-07-07 23:00:00,183700,183900,43987
1990-07-08 23:00:00,182200,181900,42257
1990-07-09 23:00:00,197400,198400,43498
1990-07-10 23:00:00,202900,202200,42011
1990-07-11 23:00:00,190600,191000,44779
1990-07-12 23:00:00,183200,182100,39283
1990-07-13 23:00:00,179100,179800,39159
1990-07-14 23:00:00,156700,158300,37671
1990-07-15 23:00:00,135100,138000,27938
1990-07-16 23:00:00,152700,148000,32895
1990-07-17 23:00:00,144700,150400,30790
1990-07-18 23:00:00,139300,134700,37919
1990-07-19 23:00:00,132200,131500,38353
1990-07-20 23:00:00,140000,152500,26076
1990-07-21 23:00:00,134100,128900,29178
1990-07-22 23:00:00,110100,105700,35500
1990-07-23 23:00:00,109100,107300,36000
1990-07-24 23:00:00,131500,136500,32340
1990-07-25 23:00:00,116700,119200,29178
1990-07-26 23:00:00,106500,105600,29859
1990-07-27 23:00:00,102600,103000,30790
1990-07-28 23:00:00,99400,94800,34074
1990-07-29 23:00:00,101400,97500,31409
