DateTime,Inflow_cfs,Release_cfs,Storage_acft
1990-01-01 00:00:00,97300,95850,10440
1990-01-02 00:00:00,100400,97480,10440
1990-01-03 00:00:00,132200,129390,10730
1990-01-04 00:00:00,148000,144610,11019
1990-01-05 00:00:00,139900,137190,10730
1990-01-06 00:00:00,119800,119820,10440
1990-01-07 00:00:00,94600,94080,11019
1990-01-08 00:00:00,83000,81280,11019
1990-01-09 00:00:00,115500,112230,10730
1990-01-10 00:00:00,124200,120530,10440
1990-01-11 00:00:00,119600,119150,10730
1990-01-12 00:00:00,111000,108370,10730
1990-01-13 00:00:00,126700,121610,10730
1990-01-14 00:00:00,80700,82500,10440
1990-01-15 00:00:00,106600,99900,10440
1990-01-16 00:00:00,135100,135020,10150
1990-01-17 00:00:00,114500,112090,10730
1990-01-18 00:00:00,124600,120880,10730
1990-01-19 00:00:00,130600,129280,10440
1990-01-20 00:00:00,133600,132800,10440
1990-01-21 00:00:00,124000,122880,10730
1990-01-22 00:00:00,108700,106740,10730
1990-01-23 00:00:00,124800,121560,11019
1990-01-24 00:00:00,130500,127760,11310
1990-01-25 00:00:00,134500,132370,11019
1990-01-26 00:00:00,132000,129600,10440
1990-01-27 00:00:00,139000,134040,10440
1990-01-28 00:00:00,121800,122350,11019
1990-01-29 00:00:00,103200,101450,11019
1990-01-30 00:00:00,134300,128170,11019
1990-01-31 00:00:00,146700,141870,10730
1990-02-01 00:00:00,156400,153230,10730
1990-02-03 00:00:00,127200,124700,10730
1990-02-04 00:00:00,102000,101280,10730
1990-02-05 00:00:00,92300,89780,11019
1990-02-06 00:00:00,131100,127700,10730
1990-02-07 00:00:00,138300,134190,11019
1990-02-08 00:00:00,160500,155510,10150
1990-02-09 00:00:00,156700,154480,9860
1990-02-10 00:00:00,113000,113090,10440
1990-02-11 00:00:00,81700,81150,10730
1990-02-12 00:00:00,107600,104500,10730
1990-02-13 00:00:00,134600,131110,10730
1990-02-14 00:00:00,145400,141970,10150
1990-02-15 00:00:00,167600,164510,10440
1990-02-16 00:00:00,168400,163950,10440
1990-02-17 00:00:00,168500,164490,11019
1990-02-18 00:00:00,131800,131300,10440
1990-02-19 00:00:00,147200,143660,10730
1990-02-20 00:00:00,162400,158820,11019
1990-02-21 00:00:00,167100,163180,8700
