DateTime,Inflow_cfs,Release_cfs,Storage_acft
1990-01-01 00:00:00,93400,95850,28800
1990-01-02 00:00:00,99200,99030,31500
1990-01-03 00:00:00,132700,130710,24300
1990-01-04 00:00:00,149000,146500,27899
1990-01-05 00:00:00,139300,138490,29698
1990-01-06 00:00:00,116100,119300,30600
1990-01-07 00:00:00,90100,92880,32399
1990-01-08 00:00:00,80600,80880,31500
1990-01-09 00:00:00,115600,112970,31500
1990-01-10 00:00:00,121000,121140,27899
1990-01-11 00:00:00,116400,115600,31500
1990-01-12 00:00:00,106300,107810,31500
1990-01-13 00:00:00,124300,123870,30600
1990-01-14 00:00:00,72600,78030,25198
1990-01-15 00:00:00,108200,104170,27899
1990-01-16 00:00:00,131900,132830,27000
1990-01-17 00:00:00,114800,112300,26100
1990-01-18 00:00:00,121600,122590,30600
1990-01-19 00:00:00,133300,128780,31500
1990-01-20 00:00:00,129400,131730,29698
1990-01-21 00:00:00,119500,122280,27899
1990-01-22 00:00:00,105200,107030,25198
1990-01-23 00:00:00,124500,123110,23399
1990-01-24 00:00:00,128400,128760,23399
1990-01-25 00:00:00,135800,132880,31500
1990-01-26 00:00:00,129700,130450,29698
1990-01-27 00:00:00,137200,137360,29698
1990-01-28 00:00:00,120700,120290,32399
1990-01-29 00:00:00,98500,101580,29698
1990-01-30 00:00:00,135400,132610,29698
1990-01-31 00:00:00,142800,145050,29698
1990-02-01 00:00:00,155800,154860,23399
1990-02-02 00:00:00,136500,134640,27899
1990-02-03 00:00:00,125300,125700,29698
1990-02-04 00:00:00,96000,100550,23399
1990-02-05 00:00:00,92900,90900,31500
1990-02-06 00:00:00,132100,129780,28800
1990-02-07 00:00:00,137200,136950,25198
1990-02-08 00:00:00,162800,159220,22500
1990-02-09 00:00:00,151500,155410,23399
1990-02-10 00:00:00,107800,111750,25198
1990-02-11 00:00:00,83100,80090,32399
1990-02-12 00:00:00,104200,104830,33300
1990-02-13 00:00:00,131000,131650,25198
1990-02-14 00:00:00,147800,142700,30600
1990-02-15 00:00:00,166600,165200,28800
1990-02-16 00:00:00,163600,166120,27000
1990-02-17 00:00:00,165400,166410,31500
1990-02-18 00:00:00,129200,129850,31500
1990-02-19 00:00:00,149000,145310,33300
1990-02-20 00:00:00,162400,160680,36000
1990-02-21 00:00:00,166200,165370,35100
1990-02-22 00:00:00,140900,148510,21600
1990-02-23 00:00:00,127000,130650,19800
1990-02-24 00:00:00,131200,129650,21600
1990-02-25 00:00:00,113900,115630,23399
1990-02-26 00:00:00,107700,110070,22500
1990-02-27 00:00:00,124200,122600,20698
1990-02-28 00:00:00,146400,145540,14399
1990-03-01 00:00:00,147200,139400,34198
1990-03-02 00:00:00,146700,151250,20698
1990-03-03 00:00:00,122200,123610,25198
1990-03-04 00:00:00,97200,97740,29698
1990-03-05 00:00:00,82500,83030,29698
1990-03-06 00:00:00,127600,126720,28800
1990-03-07 00:00:00,137800,136880,27000
1990-03-08 00:00:00,138600,142170,24300
1990-03-09 00:00:00,161300,158340,20698
1990-03-10 00:00:00,161300,157890,24300
1990-03-11 00:00:00,90500,95200,31500
1990-03-12 00:00:00,116100,115750,24300
1990-03-13 00:00:00,120800,120860,26100
1990-03-14 00:00:00,141400,140720,27000
1990-03-15 00:00:00,143600,144670,23399
1990-03-16 00:00:00,129900,130050,24300
1990-03-17 00:00:00,154600,151970,32399
1990-03-18 00:00:00,126800,127920,30600
1990-03-19 00:00:00,113500,114050,29698
1990-03-20 00:00:00,129000,129270,27000
1990-03-21 00:00:00,140800,137820,26100
1990-03-22 00:00:00,144900,144800,24300
1990-03-23 00:00:00,142200,146070,23399
1990-03-24 00:00:00,159800,157500,26100
1990-03-25 00:00:00,146800,147000,22500
1990-03-26 00:00:00,145200,142200,30600
1990-03-27 00:00:00,148000,151890,23399
1990-03-28 00:00:00,157700,161330,18899
1990-03-29 00:00:00,153300,148710,27000
1990-03-30 00:00:00,149700,147240,29698
1990-03-31 00:00:00,137400,141910,28800
1990-04-01 00:00:00,144100,137530,35100
1990-04-01 23:00:00,138800,139700,36000
1990-04-02 23:00:00,169800,167200,36000
1990-04-03 23:00:00,157200,165580,19800
1990-04-04 23:00:00,136900,134310,25198
1990-04-05 23:00:00,111200,113250,31500
1990-04-06 23:00:00,137100,136680,24300
1990-04-07 23:00:00,165700,159520,36000
1990-04-08 23:00:00,110100,115350,26100
1990-04-09 23:00:00,144800,146100,25198
1990-04-10 23:00:00,148700,148330,18000
1990-04-11 23:00:00,138800,141580,23399
1990-04-12 23:00:00,140200,139130,25198
1990-04-13 23:00:00,130100,128130,29698
1990-04-14 23:00:00,85100,88180,31500
1990-04-15 23:00:00,61600,61380,34198
1990-04-16 23:00:00,117500,117250,27000
1990-04-17 23:00:00,127400,124940,24300
1990-04-18 23:00:00,125900,124600,28800
1990-04-19 23:00:00,133100,136790,27899
1990-04-20 23:00:00,150400,148480,24300
1990-04-21 23:00:00,104000,105950,34198
1990-04-22 23:00:00,108300,107300,32399
1990-04-23 23:00:00,142500,141050,28800
1990-04-24 23:00:00,144400,144170,27899
1990-04-25 23:00:00,146800,149480,22500
1990-04-26 23:00:00,162400,162470,27000
1990-04-27 23:00:00,159600,155920,26100
1990-04-28 23:00:00,137800,140240,31500
1990-04-29 23:00:00,104800,105210,28800
1990-04-30 23:00:00,157200,153400,29698
1990-05-01 23:00:00,130900,134680,27899
1990-05-02 23:00:00,162700,163890,18000
1990-05-03 23:00:00,177000,176280,23399
1990-05-04 23:00:00,162900,158860,22500
1990-05-05 23:00:00,151900,153850,29698
1990-05-06 23:00:00,130100,130200,32399
1990-05-07 23:00:00,174600,177520,29698
1990-05-08 23:00:00,165300,163120,29698
1990-05-09 23:00:00,120200,121730,32399
1990-05-10 23:00:00,100300,101370,33300
1990-05-11 23:00:00,111100,110750,33300
1990-05-12 23:00:00,114900,114530,33300
1990-05-13 23:00:00,98400,97780,32399
1990-05-14 23:00:00,142200,141250,29698
1990-05-15 23:00:00,143600,145600,27000
1990-05-16 23:00:00,159300,156400,20698
1990-05-17 23:00:00,157900,159080,29698
1990-05-18 23:00:00,158600,161020,28800
1990-05-19 23:00:00,107900,111100,27000
1990-05-20 23:00:00,121900,115850,32399
1990-05-21 23:00:00,148200,149680,27899
1990-05-22 23:00:00,154800,156080,26100
1990-05-23 23:00:00,152600,152540,26100
1990-05-24 23:00:00,142200,142740,28800
1990-05-25 23:00:00,106100,106900,29698
1990-05-26 23:00:00,100000,102690,23399
1990-05-27 23:00:00,114500,114710,25198
1990-05-28 23:00:00,141600,134480,27899
1990-05-29 23:00:00,139800,137840,29698
1990-05-30 23:00:00,168900,165750,31500
1990-05-31 23:00:00,187700,185840,35100
1990-06-01 23:00:00,201600,200700,32399
1990-06-02 23:00:00,167900,175800,10800
1990-06-03 23:00:00,136400,139200,18899
1990-06-04 23:00:00,177000,169830,30600
1990-06-05 23:00:00,224400,219650,33300
1990-06-06 23:00:00,244400,243750,35100
1990-06-07 23:00:00,245800,245250,36000
1990-06-08 23:00:00,241900,241180,34198
1990-06-09 23:00:00,237300,238090,36000
1990-06-10 23:00:00,161900,172850,25198
1990-06-11 23:00:00,207300,199790,36000
1990-06-12 23:00:00,245600,241870,36000
1990-06-13 23:00:00,258600,256920,34198
1990-06-14 23:00:00,229100,231850,33300
1990-06-15 23:00:00,245700,244160,34198
1990-06-16 23:00:00,212950,216580,36000
1990-06-17 23:00:00,209600,209880,35100
1990-06-18 23:00:00,223500,222660,36899
1990-06-19 23:00:00,209200,209350,36000
1990-06-20 23:00:00,197600,198680,34198
1990-06-21 23:00:00,204500,204800,36000
1990-06-22 23:00:00,177800,180370,33300
1990-06-23 23:00:00,159000,159440,28800
1990-06-24 23:00:00,170200,172730,21600
1990-06-25 23:00:00,174100,172510,25198
1990-06-26 23:00:00,211500,207910,32399
1990-06-27 23:00:00,217100,215940,34198
1990-06-28 23:00:00,208300,209070,36000
1990-06-29 23:00:00,195500,196470,36000
1990-06-30 23:00:00,183100,184100,27000
1990-07-01 23:00:00,201500,200050,36899
1990-07-02 23:00:00,177700,178180,31500
1990-07-03 23:00:00,178300,181120,38698
1990-07-04 23:00:00,184500,183500,34198
1990-07-05 23:00:00,178400,179650,36000
1990-07-06 23:00:00,185800,185160,37800
1990-07-07 23:00:00,170700,170770,22500
1990-07-08 23:00:00,169800,169290,24300
1990-07-09 23:00:00,187300,187330,36000
1990-07-10 23:00:00,192900,192010,36899
1990-07-11 23:00:00,183900,184130,36000
1990-07-12 23:00:00,176500,178100,36000
1990-07-13 23:00:00,163900,165630,36000
1990-07-14 23:00:00,136000,139550,38698
1990-07-15 23:00:00,117500,117500,34198
1990-07-16 23:00:00,145100,146230,27899
1990-07-17 23:00:00,130800,130280,31500
1990-07-18 23:00:00,127500,128580,29698
1990-07-19 23:00:00,130700,131750,32399
1990-07-20 23:00:00,127900,128300,29698
1990-07-21 23:00:00,110600,111300,30600
1990-07-22 23:00:00,97200,96720,34198
1990-07-23 23:00:00,124300,122930,36000
1990-07-24 23:00:00,116400,115810,29698
1990-07-25 23:00:00,104800,104900,32399
1990-07-26 23:00:00,97600,99880,32399
1990-07-27 23:00:00,100200,100660,31500
1990-07-28 23:00:00,97000,97240,30600
1990-07-29 23:00:00,84700,82900,33300
1990-07-30 23:00:00,144200,142840,27000
1990-07-31 23:00:00,114400,115390,33300
1990-08-01 23:00:00,127500,126480,32399
1990-08-02 23:00:00,133500,136580,27899
1990-08-03 23:00:00,130500,131020,27899
1990-08-04 23:00:00,122600,122120,26100
1990-08-05 23:00:00,102400,103640,20698
1990-08-06 23:00:00,120900,119180,25198
1990-08-07 23:00:00,121900,121260,23399
1990-08-08 23:00:00,123100,121860,21600
1990-08-09 23:00:00,118500,122740,19800
1990-08-10 23:00:00,128000,124330,26100
1990-08-11 23:00:00,106600,108530,22500
1990-08-12 23:00:00,80100,83350,25198
1990-08-13 23:00:00,113500,109480,28800
1990-08-14 23:00:00,122400,123270,24300
1990-08-15 23:00:00,108100,109800,19800
1990-08-16 23:00:00,98200,95570,31500
1990-08-17 23:00:00,102900,104840,27000
