DateTime,Inflow_cfs,Release_cfs,Storage_acft
1990-08-12 23:00:00,92100,92100,135078
1990-08-13 23:00:00,94100,94100,143940
1990-08-15 23:00:00,114300,114300,152340
1990-08-16 23:00:00,100800,100800,145480
1990-08-18 23:00:00,89100,89100,142820
1990-08-19 23:00:00,89000,89000,129861
1990-08-20 23:00:00,97400,97400,149820
1990-08-21 23:00:00,109900,109900,0
1990-08-23 23:00:00,104200,104200,0
1990-08-24 23:00:00,106200,106200,0
1990-08-25 23:00:00,113700,113700,0
1990-08-26 23:00:00,102800,102800,0
1990-08-27 23:00:00,115400,115400,0
1990-08-30 23:00:00,88000,88000,142120
1990-08-31 23:00:00,94600,94600,125208
1990-09-01 23:00:00,66900,66900,118440
1990-09-02 23:00:00,57000,57000,115197
1990-09-03 23:00:00,59600,59600,115197
1990-09-04 23:00:00,74900,74900,148420
1990-09-05 23:00:00,78200,78200,145060
1990-09-06 23:00:00,70500,70500,137475
1990-09-07 23:00:00,75700,75700,137475
1990-09-08 23:00:00,65400,65400,132963
1990-09-09 23:00:00,54600,54600,133809
1990-09-10 23:00:00,78500,78500,154720
1990-09-11 23:00:00,89600,89600,145480
1990-09-12 23:00:00,75300,75300,126618
1990-09-14 23:00:00,78000,78000,148000
1990-09-15 23:00:00,69200,69200,147720
1990-09-16 23:00:00,61500,61500,146740
1990-09-17 23:00:00,74800,74800,136065
1990-09-18 23:00:00,79200,79200,137193
1990-09-19 23:00:00,78200,78200,130143
1990-09-20 23:00:00,72700,72700,138039
1990-09-22 23:00:00,76800,76800,134232
1990-09-23 23:00:00,51200,51200,0
1990-09-24 23:00:00,68300,68300,0
1990-09-25 23:00:00,86500,86500,156350
1990-09-26 23:00:00,91700,91700,154342
1990-09-27 23:00:00,94300,94300,153755
1990-09-28 23:00:00,85200,85200,0
1990-09-29 23:00:00,69500,69500,0
1990-10-01 23:00:00,75700,75700,145480
1990-10-02 23:00:00,85800,85800,150800
1990-10-03 23:00:00,89900,89900,161450
1990-10-04 23:00:00,95200,95200,151780
1990-10-05 23:00:00,89800,89800,140154
1990-10-06 23:00:00,78900,78900,131271
1990-10-07 23:00:00,61600,61600,122529
1990-10-08 23:00:00,74900,74900,120132
1990-10-09 23:00:00,73500,73500,108006
1990-10-10 23:00:00,78900,78900,87843
1990-10-11 23:00:00,84500,84500,66975
1990-10-12 23:00:00,75900,75900,59502
1990-10-13 23:00:00,52900,52900,48363
1990-10-14 23:00:00,55600,55600,48786
1990-10-15 23:00:00,77900,77900,57387
1990-10-16 23:00:00,80700,80700,66552
1990-10-17 23:00:00,78000,78000,77973
1990-10-18 23:00:00,74900,74900,103917
1990-10-19 23:00:00,86400,86400,106455
1990-10-20 23:00:00,87800,87800,95034
1990-10-21 23:00:00,74000,74000,61335
1990-10-22 23:00:00,79400,79400,66270
1990-10-23 23:00:00,75200,75200,75717
1990-10-24 23:00:00,81700,81700,74448
1990-10-25 23:00:00,75300,75300,43851
1990-10-26 23:00:00,61700,61700,70500
1990-10-27 23:00:00,74400,74400,88548
1990-10-29 00:00:00,72700,72700,79524
1990-10-30 00:00:00,83600,83600,89112
1990-10-31 00:00:00,84600,84600,82626
1990-11-01 00:00:00,77700,77700,71628
1990-11-02 00:00:00,87700,87700,102225
1990-11-03 00:00:00,85000,85000,135360
1990-11-04 00:00:00,93100,93100,157100
1990-11-05 00:00:00,84900,84900,124221
1990-11-06 00:00:00,97500,97500,118158
1990-11-07 00:00:00,100400,100400,124221
1990-11-08 00:00:00,91400,91400,127887
1990-11-09 00:00:00,94400,94400,126336
1990-11-10 00:00:00,94100,94100,133527
1990-11-11 00:00:00,98800,98800,146880
1990-11-12 00:00:00,96600,96600,133527
1990-11-13 00:00:00,103800,103800,155000
1990-11-14 00:00:00,104900,104900,156500
1990-11-15 00:00:00,137400,137400,174050
1990-11-16 00:00:00,123400,123400,173450
1990-11-17 00:00:00,127600,127600,171200
1990-11-18 00:00:00,116600,116600,137475
1990-11-19 00:00:00,94600,94600,154580
1990-11-20 00:00:00,125000,125000,172550
1990-11-21 00:00:00,126300,126300,173300
1990-11-22 00:00:00,128200,128200,174200
1990-11-23 00:00:00,108800,108800,170150
1990-11-24 00:00:00,108100,108100,161000
1990-11-25 00:00:00,145400,145400,177350
1990-11-26 00:00:00,156300,156300,172700
1990-11-27 00:00:00,171900,171900,162050
1990-11-28 00:00:00,149500,149500,174500
1990-11-29 00:00:00,140400,140400,180800
1990-11-30 00:00:00,130600,130600,183950
1990-12-01 00:00:00,156600,156600,184550
1990-12-02 00:00:00,161900,161900,182150
1990-12-03 00:00:00,131100,131100,179300
1990-12-04 00:00:00,133700,133700,177650
1990-12-05 00:00:00,131700,131700,178100
1990-12-06 00:00:00,160600,160600,181100
1990-12-07 00:00:00,136500,136500,185150
1990-12-08 00:00:00,152100,152100,178700
1990-12-09 00:00:00,128900,128900,161150
1990-12-10 00:00:00,116700,116700,127464
1990-12-11 00:00:00,113000,113000,144920
1990-12-12 00:00:00,127000,127000,166700
1990-12-13 00:00:00,139100,139100,175550
1990-12-14 00:00:00,139500,139500,170600
1990-12-15 00:00:00,128500,128500,172100
1990-12-16 00:00:00,121100,121100,152620
1990-12-17 00:00:00,116300,116300,130707
1990-12-18 00:00:00,120600,120600,157550
1990-12-19 00:00:00,154000,154000,181850
1990-12-20 00:00:00,176100,176100,160250
1990-12-21 00:00:00,174800,174800,162200
1990-12-22 00:00:00,177400,177400,155150
1990-12-23 00:00:00,168000,168000,161600
1990-12-24 00:00:00,173300,173300,158600
1990-12-25 00:00:00,184400,184400,143520
1990-12-26 00:00:00,117400,117400,152900
1990-12-27 00:00:00,161800,161800,157100
1990-12-28 00:00:00,126700,126700,133104
1990-12-29 00:00:00,151200,151200,139449
1990-12-30 00:00:00,151700,151700,141700
1990-12-31 00:00:00,158400,158400,137475
1991-01-01 00:00:00,120000,120000,116607
1991-01-02 00:00:00,93300,93300,98700
1991-01-03 00:00:00,106400,106400,124362
1991-01-04 00:00:00,148300,148300,157850
1991-01-05 00:00:00,128600,128600,143100
1991-01-06 00:00:00,161900,161900,138603
1991-01-07 00:00:00,134900,134900,141840
1991-01-08 00:00:00,154100,154100,143240
1991-01-09 00:00:00,132000,132000,137898
1991-01-10 00:00:00,150500,150500,138462
1991-01-11 00:00:00,152500,152500,140013
1991-01-12 00:00:00,123700,123700,142960
1991-01-13 00:00:00,118500,118500,129579
1991-01-14 00:00:00,80300,80300,113505
1991-01-15 00:00:00,97700,97700,138039
1991-01-16 00:00:00,121100,121100,154440
1991-01-17 00:00:00,125000,125000,152060
1991-01-18 00:00:00,120900,120900,163100
1991-01-19 00:00:00,159300,159300,156650
1991-01-20 00:00:00,146900,146900,159950
1991-01-21 00:00:00,163100,163100,160850
1991-01-22 00:00:00,173200,173200,158150
1991-01-23 00:00:00,170100,170100,159050
1991-01-24 00:00:00,156300,156300,158300
1991-01-25 00:00:00,160700,160700,158300
1991-01-26 00:00:00,168900,168900,161000
1991-01-27 00:00:00,164600,164600,151360
1991-01-28 00:00:00,161500,161500,157100
1991-01-29 00:00:00,163500,163500,156200
1991-01-30 00:00:00,164600,164600,148980
1991-01-31 00:00:00,164400,164400,166700
1991-02-01 00:00:00,168900,168900,160850
1991-02-02 00:00:00,160300,160300,163850
1991-02-03 00:00:00,122500,122500,155150
1991-02-04 00:00:00,117400,117400,140577
1991-02-05 00:00:00,131100,131100,161000
1991-02-06 00:00:00,142200,142200,158450
1991-02-07 00:00:00,137900,137900,163100
1991-02-08 00:00:00,150200,150200,163250
1991-02-09 00:00:00,119200,119200,153880
1991-02-10 00:00:00,142200,142200,163400
1991-02-11 00:00:00,133300,133300,165350
1991-02-12 00:00:00,163400,163400,160700
1991-02-13 00:00:00,150300,150300,160700
1991-02-14 00:00:00,159900,159900,163250
1991-02-15 00:00:00,145000,145000,162200
1991-02-16 00:00:00,129800,129800,165950
1991-02-17 00:00:00,122100,122100,156650
1991-02-18 00:00:00,116700,116700,140013
1991-02-19 00:00:00,121100,121100,152200
1991-02-20 00:00:00,128100,128100,170750
1991-02-21 00:00:00,137500,137500,176900
1991-02-22 00:00:00,137500,137500,171350
1991-02-23 00:00:00,136600,136600,178700
1991-02-24 00:00:00,128400,128400,163250
1991-02-25 00:00:00,122000,122000,163100
1991-02-26 00:00:00,133100,133100,174500
1991-02-27 00:00:00,152000,152000,172850
1991-02-28 00:00:00,164900,164900,174950
1991-03-01 00:00:00,167100,167100,176300
1991-03-02 00:00:00,158600,158600,181850
1991-03-03 00:00:00,162300,162300,176150
1991-03-04 00:00:00,123600,123600,153880
1991-03-05 00:00:00,151700,151700,180050
1991-03-06 00:00:00,170900,170900,170000
1991-03-07 00:00:00,153700,153700,96867
1991-03-08 00:00:00,147690,147690,104481
1991-03-09 00:00:00,134050,134050,128874
1991-03-10 00:00:00,134550,134550,182600
1991-03-11 00:00:00,154100,154100,182300
1991-03-12 00:00:00,169580,169580,180050
1991-03-13 00:00:00,165520,165520,173000
1991-03-14 00:00:00,162080,162080,174500
1991-03-15 00:00:00,145580,145580,167600
1991-03-16 00:00:00,164000,164000,151500
1991-03-17 00:00:00,176570,176570,137193
1991-03-18 00:00:00,144500,144500,126477
1991-03-19 00:00:00,162130,162130,119850
1991-03-20 00:00:00,165330,165330,101802
1991-03-21 00:00:00,172680,172680,97149
1991-03-22 00:00:00,132300,132300,108288
1991-03-23 00:00:00,137700,137700,113223
1991-03-24 00:00:00,177600,177600,141840
1991-03-25 00:00:00,161200,161200,125208
1991-03-26 00:00:00,155400,155400,123798
1991-03-27 00:00:00,165000,165000,134514
1991-03-28 00:00:00,159100,159100,168050
1991-03-29 00:00:00,179700,179700,162950
1991-03-30 00:00:00,159100,159100,156650
1991-03-31 00:00:00,160400,160400,161750
1991-04-01 00:00:00,144400,144400,158900
1991-04-02 00:00:00,156200,156200,167150
1991-04-03 00:00:00,160300,160300,163100
1991-04-04 00:00:00,148500,148500,163100
1991-04-05 00:00:00,141400,141400,167900
1991-04-06 00:00:00,146900,146900,168950
1991-04-07 00:00:00,164500,164500,141420
1991-10-28 00:00:00,82400,82400,156650
1991-10-29 00:00:00,112700,112700,159800
1991-10-30 00:00:00,117900,117900,150800
1991-10-31 00:00:00,122040,122040,154020
1991-11-01 00:00:00,107100,107100,162500
1991-11-02 00:00:00,116600,116600,158150
1991-11-03 00:00:00,105900,105900,157700
1991-11-04 00:00:00,105800,105800,152620
1991-11-05 00:00:00,108800,108800,129861
1991-11-06 00:00:00,97400,97400,148280
1991-11-07 00:00:00,110000,110000,158150
1991-11-08 00:00:00,112500,112500,159350
1991-11-09 00:00:00,101100,101100,147160
1991-11-10 00:00:00,102900,102900,88548
1991-11-11 00:00:00,74500,74500,64296
1991-11-12 00:00:00,89100,89100,75153
1991-11-13 00:00:00,82500,82500,58515
1991-11-14 00:00:00,87600,87600,67680
1991-11-15 00:00:00,89400,89400,120555
1991-11-16 00:00:00,106100,106100,150100
1991-11-17 00:00:00,108300,108300,133245
1991-11-18 00:00:00,87100,87100,82203
1991-11-19 00:00:00,107500,107500,73743
1991-11-20 00:00:00,109500,109500,66834
1991-11-21 00:00:00,101100,101100,92496
1991-11-22 00:00:00,102700,102700,141000
1991-11-23 00:00:00,130100,130100,158450
1991-11-24 00:00:00,110500,110500,156650
1991-11-25 00:00:00,90700,90700,113646
1991-11-26 00:00:00,94200,94200,131412
1991-11-27 00:00:00,90000,90000,110544
1991-11-28 00:00:00,85700,85700,127464
1991-11-29 00:00:00,67000,67000,134937
1991-11-30 00:00:00,82000,82000,102507
1991-12-01 00:00:00,72600,72600,110967
1991-12-02 00:00:00,87300,87300,143800
1991-12-03 00:00:00,91500,91500,132258
1991-12-04 00:00:00,93400,93400,118440
1991-12-05 00:00:00,83600,83600,134373
1991-12-06 00:00:00,92000,92000,136347
1991-12-07 00:00:00,78200,78200,146040
1991-12-08 00:00:00,81100,81100,147440
1991-12-09 00:00:00,70500,70500,130002
1991-12-10 00:00:00,107600,107600,108147
1991-12-11 00:00:00,98100,98100,83613
1991-12-12 00:00:00,93900,93900,107865
1991-12-13 00:00:00,91000,91000,126054
1991-12-14 00:00:00,110600,110600,125631
1991-12-15 00:00:00,96700,96700,158900
1991-12-16 00:00:00,116600,116600,144360
1991-12-17 00:00:00,131300,131300,139731
1991-12-18 00:00:00,136400,136400,119850
1991-12-19 00:00:00,123200,123200,116748
1991-12-20 00:00:00,109700,109700,131412
1991-12-21 00:00:00,130000,130000,137052
1991-12-22 00:00:00,88000,88000,122529
1991-12-23 00:00:00,92200,92200,143800
1991-12-24 00:00:00,107600,107600,136065
1991-12-25 00:00:00,85400,85400,134796
1991-12-26 00:00:00,68200,68200,130143
1991-12-27 00:00:00,85900,85900,129861
1991-12-28 00:00:00,84300,84300,157100
1991-12-29 00:00:00,93400,93400,149540
1991-12-30 00:00:00,85700,85700,149820
1991-12-31 00:00:00,95000,95000,152900
1992-01-01 00:00:00,96200,96200,154300
1992-01-01 08:00:00,96200,96200,152200
1992-01-02 08:00:00,101800,101800,152900
1992-01-03 08:00:00,108800,108800,149120
1992-01-04 08:00:00,112500,112500,145620
1992-01-05 08:00:00,102100,102100,149680
1992-01-06 08:00:00,113800,113800,147300
1992-01-07 08:00:00,130800,130800,148280
1992-01-08 08:00:00,144300,144300,136770
1992-01-09 08:00:00,134200,134200,131835
1992-01-10 08:00:00,118400,118400,146040
1992-01-11 08:00:00,112500,112500,134091
1992-01-12 08:00:00,85300,85300,131412
1992-01-13 08:00:00,101400,101400,129156
1992-01-14 08:00:00,119700,119700,126336
1992-01-15 08:00:00,116600,116600,125913
1992-01-16 08:00:00,116100,116100,127323
1992-01-17 08:00:00,106000,106000,131976
1992-01-18 08:00:00,119800,119800,138462
1992-01-19 08:00:00,101600,101600,143800
1992-01-20 08:00:00,106400,106400,146180
1992-01-21 08:00:00,123400,123400,162200
1992-01-22 08:00:00,127500,127500,147720
1992-01-23 08:00:00,122200,122200,133245
1992-01-24 08:00:00,107900,107900,132117
1992-01-25 08:00:00,102400,102400,137052
1992-01-26 08:00:00,83200,83200,135078
1992-01-27 08:00:00,79700,79700,142680
1992-01-28 08:00:00,101800,101800,137616
1992-01-29 08:00:00,99000,99000,144640
1992-01-30 08:00:00,86070,86070,145340
1992-01-31 08:00:00,106400,106400,146320
1992-02-01 08:00:00,93100,93100,145340
1992-02-02 08:00:00,71700,71700,144080
1992-02-03 08:00:00,80900,80900,144360
1992-02-04 08:00:00,87800,87800,144360
1992-02-05 08:00:00,81700,81700,144360
1992-02-06 08:00:00,76600,76600,150380
1992-02-07 08:00:00,97700,97700,140436
1992-02-08 08:00:00,99600,99600,136911
1992-02-09 08:00:00,80800,80800,135924
1992-02-10 08:00:00,75600,75600,134937
1992-02-11 08:00:00,88500,88500,139308
1992-02-12 08:00:00,83600,83600,141700
1992-02-13 08:00:00,86200,86200,140859
