DateTime,Inflow_cfs,Release_cfs,Storage_acft
1990-01-01 00:00:00,95800,98200,91173
1990-01-02 00:00:00,103700,103500,90465
1990-01-03 00:00:00,139200,135800,90583
1990-01-04 00:00:00,150000,151400,91409
1990-01-05 00:00:00,144600,143500,92000
1990-01-06 00:00:00,117100,120100,91528
1990-01-07 00:00:00,95300,95500,92233
1990-01-08 00:00:00,84600,84800,94123
1990-01-09 00:00:00,117700,117400,91055
1990-01-10 00:00:00,122400,125300,84162
1990-01-11 00:00:00,112500,116900,76298
1990-01-12 00:00:00,106400,110200,76056
1990-01-13 00:00:00,115000,126600,61723
1990-01-14 00:00:00,77900,78800,48516
1990-01-15 00:00:00,120700,114500,48425
1990-01-16 00:00:00,139200,130600,62652
1990-01-17 00:00:00,128100,120700,84768
1990-01-18 00:00:00,127600,126400,92706
1990-01-19 00:00:00,139900,136800,93296
1990-01-20 00:00:00,135300,135300,93296
1990-01-21 00:00:00,117900,122900,88696
1990-01-22 00:00:00,110800,110700,87042
1990-01-23 00:00:00,127300,126900,85615
1990-01-24 00:00:00,140100,136900,94005
1990-01-25 00:00:00,136600,138600,90346
1990-01-26 00:00:00,135300,133600,92351
1990-01-27 00:00:00,143900,144400,93060
1990-01-28 00:00:00,120900,121700,89874
1990-01-29 00:00:00,102100,103000,86215
1990-01-30 00:00:00,140200,138700,88578
1990-01-31 00:00:00,153800,150400,92351
1990-02-01 00:00:00,156800,158200,91173
1990-02-02 00:00:00,137800,140200,89283
1990-02-03 00:00:00,129400,129100,92000
1990-02-04 00:00:00,97500,102200,76177
1990-02-05 00:00:00,101400,96500,90937
1990-02-06 00:00:00,135100,135100,87396
1990-02-07 00:00:00,144000,143700,92706
1990-02-08 00:00:00,172000,169200,97427
1990-02-09 00:00:00,146700,157200,86806
1990-02-10 00:00:00,120600,115400,83678
1990-02-11 00:00:00,90700,87300,95892
1990-02-12 00:00:00,110100,110100,96483
1990-02-13 00:00:00,133000,135100,87633
1990-02-14 00:00:00,161100,156700,91173
1990-02-15 00:00:00,173100,173500,97782
1990-02-16 00:00:00,172100,173000,99338
1990-02-17 00:00:00,172500,173200,98498
1990-02-18 00:00:00,133000,135200,89638
1990-02-19 00:00:00,160800,156900,93415
1990-02-20 00:00:00,170300,170400,95301
1990-02-21 00:00:00,171400,171300,99098
1990-02-22 00:00:00,140800,145300,93415
1990-02-23 00:00:00,137200,137400,90819
1990-02-24 00:00:00,135500,135100,89165
1990-02-25 00:00:00,118500,120300,87633
1990-02-26 00:00:00,117000,115200,83920
1990-02-27 00:00:00,131000,129900,91882
1990-02-28 00:00:00,154600,152100,86451
1990-03-01 00:00:00,154000,156500,97427
1990-03-02 00:00:00,156400,154600,90000
1990-03-03 00:00:00,128300,129200,94478
1990-03-04 00:00:00,102300,102900,93296
1990-03-05 00:00:00,87500,88400,94005
1990-03-06 00:00:00,138000,135600,90819
1990-03-07 00:00:00,140600,142600,93178
1990-03-08 00:00:00,150900,148600,89519
1990-03-09 00:00:00,169500,169000,94832
