DateTime,Inflow_cfs,Release_cfs,Storage_acft,Gain_cfs
1990-01-01,5189.96,,750771.38,3995.52
1990-01-02,5561.78,,759823.5,4363.12
1990-01-03,5189.96,,768138.13,3992.94
1990-01-04,6001.2,,778061.81,4798.37
1990-01-05,5698.6,,787385.31,4494.13
1990-01-06,5689.02,,796689.81,4491.88
1990-01-07,5698.6,,806013.31,4490.98
1990-01-08,6127.96,,816188.44,4924.49
1990-01-09,5191.5,,825000.0,3996.54
1990-01-10,4932.19,,833721.0,3727.04
1990-01-11,5746.86,,844092.63,4547.73
1990-01-12,5764.91,,854501.94,4566.02
1990-01-13,5885.79,,865172.06,4685.83
1990-01-14,6279.46,,876643.0,5078.23
1990-01-15,5054.78,,885671.63,3850.41
1990-01-16,5921.0,,896397.81,4707.82
1990-01-17,5598.02,,906509.06,4396.2
1990-01-18,5166.39,,915757.13,3962.92
1990-01-19,4329.18,,923340.56,3124.59
1990-01-20,5163.76,,932609.19,3955.76
1990-01-21,5242.88,,942024.06,4031.43
1990-01-22,4871.18,,950672.94,3662.52
1990-01-23,4454.1,,958435.75,3248.11
1990-01-24,5337.73,,967949.5,4121.26
1990-01-25,4021.48,,974868.56,2816.84
1990-01-26,5821.55,,985399.38,4615.3
1990-01-27,521.47,,985399.38,-680.9
1990-01-28,2313.45,,988951.5,1112.74
1990-01-29,12143.0,,1012018.5,10935.46
1990-01-30,5008.84,,1020898.75,3809.42
1990-01-31,5089.17,,1029938.63,3876.39
1990-02-01,5080.4,,1039060.88,3878.03
1990-02-02,4098.76,,1046336.5,2894.54
1990-02-03,6885.88,,1059107.75,5679.76
1990-02-04,4123.04,,1066405.5,2915.79
1990-02-05,5152.69,,1075695.5,3944.82
1990-02-06,5183.06,,1085071.5,3979.66
1990-02-07,5160.54,,1094424.5,3951.64
1990-02-08,4266.68,,1101925.38,3060.74
1990-02-09,4229.33,,1109426.13,3024.77
1990-02-10,5196.47,,1118870.63,3994.22
1990-02-11,5801.76,,1129472.63,4601.93
1990-02-12,5317.26,,1139110.88,4104.94
1990-02-13,3845.55,,1145834.13,2641.6
1990-02-14,4815.39,,1154508.5,3611.04
1990-02-15,5816.55,,1165123.0,4614.85
1990-02-16,3969.26,,1172039.5,2763.65
1990-02-17,4963.15,,1180932.13,3747.96
1990-02-18,3909.21,,1187848.5,2687.43
1990-02-19,3918.19,,1194740.88,2694.66
1990-02-20,4922.33,,1203633.5,3709.32
1990-02-21,5429.56,,1213500.25,4215.54
1990-02-22,5025.67,,1222582.38,3807.05
1990-02-23,5019.31,,1231664.5,3801.44
1990-02-24,5008.6,,1240722.0,3788.86
1990-02-25,5530.83,,1250813.25,4318.9
1990-02-26,6039.3,,1261913.63,4824.98
1990-02-27,3492.33,,1268031.5,2282.42
1990-02-28,5099.52,,1277289.38,3880.24
1990-03-01,5611.54,,1287576.0,4388.58
1990-03-02,5080.49,,1296808.88,3863.38
1990-03-03,5566.67,,1307095.63,4347.04
1990-03-04,7237.05,,1320546.88,6022.09
1990-03-05,5725.59,,1331022.38,4517.71
1990-03-06,4660.33,,1339402.88,3443.87
1990-03-07,6243.27,,1350900.63,5036.13
1990-03-08,4155.07,,1358233.5,2948.71
1990-03-09,5255.01,,1367645.5,4042.97
1990-03-10,1629.65,,1369779.5,404.6
1990-03-11,6402.28,,1381516.5,5188.09
1990-03-12,6956.93,,1394294.5,5740.34
1990-03-13,3746.37,,1400696.5,2533.8
1990-03-14,3213.9,,1406031.5,1999.84
1990-03-15,7518.77,,1419902.5,6298.25
1990-03-16,4878.84,,1428563.13,3667.92
1990-03-17,4357.32,,1436173.0,3141.11
1990-03-18,5454.88,,1445957.13,4239.8
1990-03-19,3792.57,,1452453.25,2577.73
1990-03-20,4369.03,,1460063.13,3150.52
1990-03-21,3800.69,,1466585.88,2582.32
1990-03-22,5460.58,,1476373.0,4246.76
1990-03-23,7710.97,,1490764.0,6490.59
1990-03-24,3838.04,,1497406.0,2625.48
1990-03-25,4163.03,,1504021.0,2947.07
1990-03-26,4164.42,,1509556.0,2943.53
1990-03-27,8016.69,,1521733.0,6798.08
1990-03-28,1173.2,,1519519.0,-37.09
1990-03-29,4698.25,,1522840.0,3485.31
1990-03-30,4614.56,,1525054.0,3405.8
1990-03-31,4727.17,,1527268.0,3521.93
1990-04-01,4601.27,,1528375.0,3391.25
1990-04-02,4495.74,,1529482.0,3287.6
1990-04-03,3457.5,,1527268.0,2241.79
1990-04-04,3731.85,,1529482.0,2523.84
1990-04-05,6792.88,,1539587.75,5584.37
1990-04-06,3336.3,,1544095.75,2121.1
1990-04-07,5292.3,,1550857.75,4080.13
1990-04-08,6145.06,,1556492.75,4933.52
1990-04-09,1140.53,,1548603.75,-73.67
1990-04-10,6770.95,,1548603.75,5554.23
1990-04-11,5626.02,,1546349.75,4410.05
1990-04-12,4770.83,,1541841.75,3556.25
1990-04-13,2372.89,,1531698.75,1155.27
1990-04-14,8266.76,,1532825.75,7055.34
1990-04-15,3166.76,,1523947.0,1947.27
1990-04-16,8844.94,,1525054.0,7622.28
1990-04-17,93.68,,1508449.0,-1124.05
1990-04-18,4907.11,,1500727.0,3699.6
1990-04-19,5848.29,,1494085.0,4229.15
1990-04-20,5411.39,,1486336.0,3209.85
1990-04-21,5109.55,,1477480.0,2680.84
1990-04-22,6874.08,,1472021.5,4003.25
1990-04-23,6066.45,,1464411.63,2725.79
1990-04-24,5718.3,,1455714.63,1807.14
1990-04-25,2544.67,,1443782.88,-1431.58
1990-04-26,6398.38,,1441608.63,1974.22
1990-04-27,6994.62,,1442695.75,2085.06
1990-04-28,7124.14,,1445957.13,2156.63
1990-04-29,5400.69,,1445957.13,421.86
1990-04-30,6810.79,,1447044.25,1828.78
1990-05-01,3599.37,,1439434.38,-1392.88
1990-05-02,6051.71,,1436173.0,1065.5
1990-05-03,2772.26,,1426388.88,-2226.05
1990-05-04,4397.49,,1419902.5,-582.92
1990-05-05,1508.1,,1407098.5,-3448.9
1990-05-06,-5376.94,,1379382.5,-10341.55
1990-05-07,8656.14,,1379382.5,2128.92
1990-05-08,4831.79,,1371913.5,-4018.32
1990-05-09,4017.91,,1362423.75,-5972.71
1990-05-10,4912.47,,1354043.25,-5094.72
1990-05-11,4482.47,,1343567.63,-5941.55
1990-05-12,3927.41,,1331022.38,-7009.02
1990-05-13,3256.8,,1317404.13,-7747.51
1990-05-14,1946.45,,1301952.25,-9026.71
1990-05-15,6458.69,,1295780.25,-4531.22
1990-05-16,5436.4,,1287576.0,-5565.17
1990-05-17,5880.58,,1280375.38,-5432.46
1990-05-18,4010.01,,1270088.75,-7495.16
1990-05-19,4449.09,,1260904.5,-7057.03
1990-05-20,2324.31,,1245767.63,-9179.28
1990-05-21,5879.5,,1236710.13,-5166.41
1990-05-22,2845.05,,1221573.25,-7680.53
1990-05-23,2500.35,,1205609.63,-7988.59
1990-05-24,19.69,,1184884.38,-10477.68
1990-05-25,7463.15,,1178956.0,-3278.89
1990-05-26,4374.44,,1167099.13,-7052.35
1990-05-27,7121.13,,1162219.0,-4679.7
1990-05-28,6161.84,,1156436.13,-5842.17
1990-05-29,4554.72,,1147761.75,-7441.16
1990-05-30,9155.6,,1148725.5,-2843.44
1990-05-31,4681.76,,1142942.63,-7295.29
1990-06-01,7085.41,,1142942.63,-4898.92
1990-06-02,8741.08,,1145834.13,-3257.24
1990-06-03,8326.95,,1147761.75,-3681.05
1990-06-04,4413.58,,1141015.0,-7581.25
1990-06-05,8158.53,,1140051.13,-2918.41
1990-06-06,4033.99,,1130436.5,-6045.25
1990-06-07,2116.09,,1116943.0,-7859.33
1990-06-08,5177.61,,1109426.13,-4813.15
1990-06-09,3783.46,,1099112.5,-6484.21
1990-06-10,2606.56,,1085071.5,-8807.41
1990-06-11,5333.14,,1075695.5,-6156.96
1990-06-12,4577.38,,1064581.13,-6944.36
1990-06-13,8798.73,,1061844.38,-2706.83
1990-06-14,3760.03,,1049073.13,-7754.5
1990-06-15,5927.24,,1040885.38,-5578.32
1990-06-16,6651.98,,1035412.0,-4857.26
1990-06-17,6750.09,,1030850.81,-4739.19
1990-06-18,4654.47,,1021786.81,-6876.65
1990-06-19,5725.0,,1013794.56,-5784.27
1990-06-20,6320.75,,1005802.31,-5183.68
1990-06-21,5767.23,,995167.69,-5729.36
1990-06-22,4276.53,,980959.25,-7233.11
1990-06-23,3920.7,,965354.88,-7587.68
1990-06-24,4210.52,,948943.13,-7298.64
1990-06-25,5280.7,,934294.38,-6651.72
1990-06-26,4602.4,,918284.94,-7386.43
1990-06-27,4057.86,,900610.81,-8359.56
1990-06-28,4354.08,,883209.25,-8122.01
1990-06-29,4010.72,,865172.06,-8445.39
1990-06-30,3385.98,,845688.25,-9097.59
1990-07-01,3217.76,,826560.06,-9222.04
1990-07-02,1038.62,,802905.5,-11427.27
1990-07-03,5664.51,,787385.31,-6810.01
1990-07-04,3994.31,,768138.13,-8939.14
1990-07-05,3768.35,,749259.63,-9666.92
1990-07-06,3168.03,,729809.44,-10314.6
1990-07-07,3705.81,,711472.94,-9782.1
1990-07-08,2748.27,,691917.56,-10732.46
1990-07-09,4600.19,,675595.81,-8870.26
1990-07-10,3803.21,,657383.56,-9655.52
1990-07-11,3642.67,,638904.5,-9820.08
1990-07-12,3652.24,,620734.63,-9813.29
1990-07-13,2746.65,,600887.63,-10727.22
1990-07-14,3887.15,,583427.63,-9570.66
1990-07-15,3594.91,,565452.0,-9869.84
1990-07-16,3256.69,,546658.25,-10208.67
1990-07-17,4270.17,,529213.69,-9216.61
1990-07-18,4839.97,,512059.09,-8651.93
1990-07-19,3977.78,,492692.66,-9506.66
1990-07-20,5221.33,,475946.91,-8242.6
1990-07-21,4867.33,,458446.69,-8600.04
1990-07-22,5767.1,,443392.13,-7698.22
1990-07-23,5237.81,,428861.22,-8213.13
1990-07-24,4816.25,,414388.44,-8657.56
1990-07-25,6227.81,,402072.53,-7225.57
1990-07-26,6472.31,,390279.56,-6966.54
1990-07-27,7297.18,,380899.66,-6149.93
1990-07-28,5872.51,,370002.28,-7589.46
1990-07-29,8553.93,,364807.0,-4911.03
1990-07-30,6873.84,,355727.19,-6591.64
1990-07-31,6862.22,,346208.09,-6104.22
1990-08-01,6496.13,,335257.22,-6427.95
1990-08-02,5353.41,,321596.28,-7122.69
1990-08-03,6961.75,,310976.5,-5491.81
1990-08-04,6800.67,,300223.09,-5624.51
1990-08-05,6579.94,,289042.09,-5855.0
1990-08-06,6509.89,,277759.09,-5930.73
1990-08-07,6736.09,,266947.88,-5705.11
1990-08-08,6518.78,,256000.89,-5924.39
1990-08-09,6003.09,,244648.16,-6437.82
1990-08-10,6586.78,,234453.36,-5855.1
1990-08-11,5388.7,,221786.13,-7034.85
1990-08-12,7572.63,,213534.94,-4876.59
1990-08-13,6843.19,,203639.03,-5600.69
1990-08-14,7283.58,,194493.59,-5152.94
1990-08-15,6250.17,,183784.92,-6192.69
1990-08-16,7722.04,,175774.0,-4720.08
1990-08-17,8281.92,,169298.28,-4157.54
1990-08-18,5072.13,,155981.48,-7361.97
1990-08-19,9622.93,,152519.8,-2816.87
1990-08-20,7105.94,,145642.14,-5330.06
1990-08-21,7721.87,,141276.14,-4259.39
1990-08-22,7414.06,,137259.77,-4525.62
1990-08-23,7295.55,,133593.0,-4607.17
1990-08-24,7568.61,,130446.41,-3943.27
1990-08-25,5878.32,,124039.72,-5110.97
1990-08-26,5893.42,,117349.35,-4599.55
1990-08-27,6598.93,,112341.73,-3410.99
1990-08-28,6233.4,,107249.09,-3743.98
1990-08-29,5596.24,,101209.33,-4374.03
1990-08-30,3754.23,,91523.12,-6215.71
1990-08-31,4781.83,,83903.49,-5177.98
1990-09-01,3535.93,,73759.26,-5480.72
1990-09-02,3342.6,,63234.05,-4660.31
1990-09-03,3074.85,,52300.0,-4884.36
1990-09-04,3073.82,,41350.84,-4895.78
1990-09-05,3841.88,,33444.52,-4115.44
