DateTime,Inflow_cfs,Release_cfs,Storage_acft,Gain_cfs
1990-01-01,197.3,,404021.5,162.3
1990-01-02,305.44,,404238.94,268.44
1990-01-03,195.31,,404238.94,159.31
1990-01-04,280.54,,404402.03,242.54
1990-01-05,195.64,,404402.03,155.64
1990-01-06,197.23,,404402.03,156.23
1990-01-07,1361.26,,406705.81,1312.26
1990-01-08,2175.72,,410612.69,2116.72
1990-01-09,1063.9,,412318.53,1003.9
1990-01-10,592.08,,413088.88,533.08
1990-01-11,645.14,,413969.31,587.14
1990-01-12,282.9,,414134.41,225.9
1990-01-13,393.61,,414519.56,337.61
1990-01-14,447.94,,415014.81,391.94
1990-01-15,280.53,,415179.91,226.53
1990-01-16,393.01,,415568.09,340.01
1990-01-17,366.56,,415904.28,313.56
1990-01-18,195.87,,415904.28,144.87
1990-01-19,192.62,,415904.28,143.62
1990-01-20,188.7,,415904.28,141.7
1990-01-21,386.44,,416296.5,341.44
1990-01-22,-8.83,,415904.28,-52.83
1990-01-23,474.69,,416464.59,427.69
1990-01-24,311.35,,416688.72,263.35
1990-01-25,207.76,,416688.72,159.76
1990-01-26,286.7,,416856.81,239.7
1990-01-27,459.81,,417361.13,412.81
1990-01-28,939.9,,418817.94,888.9
1990-01-29,89.9,,418593.81,35.9
1990-01-30,657.93,,419490.31,599.93
1990-01-31,288.28,,419658.41,229.28
1990-02-01,515.89,,420274.75,453.89
1990-02-02,289.25,,420442.84,228.25
1990-02-03,345.97,,420723.03,285.97
1990-02-04,316.67,,420947.16,255.67
1990-02-05,203.38,,420947.16,143.38
1990-02-06,487.41,,421507.47,426.41
1990-02-07,317.31,,421731.59,258.31
1990-02-08,996.39,,423300.47,932.39
1990-02-09,739.3,,424365.09,671.3
1990-02-10,398.78,,424757.31,318.78
1990-02-11,400.07,,425149.53,322.07
1990-02-12,86.82,,424925.41,12.82
1990-02-13,453.42,,425429.69,379.42
1990-02-14,279.76,,425597.78,208.76
1990-02-15,199.84,,425597.78,130.84
1990-02-16,598.55,,426384.59,525.55
1990-02-17,339.79,,426666.41,266.79
1990-02-18,308.99,,426891.91,238.99
1990-02-19,195.13,,426891.91,127.13
1990-02-20,277.81,,427061.0,211.81
1990-02-21,309.11,,427286.47,243.11
1990-02-22,280.85,,427455.59,217.85
1990-02-23,309.04,,427681.06,248.04
1990-02-24,195.8,,427681.06,136.8
1990-02-25,337.54,,427962.91,280.54
1990-02-26,278.45,,428132.0,223.45
1990-02-27,197.6,,428132.0,144.6
1990-02-28,202.27,,428132.0,150.27
1990-03-01,206.42,,428132.0,156.42
1990-03-02,406.12,,428526.59,356.12
1990-03-03,576.91,,429259.38,522.91
1990-03-04,404.39,,429653.94,347.39
1990-03-05,201.49,,429653.94,145.49
1990-03-06,288.34,,429823.06,234.34
1990-03-07,205.62,,429823.06,152.62
1990-03-08,744.86,,430894.06,690.86
1990-03-09,328.09,,431119.53,275.09
1990-03-10,754.16,,432190.53,697.16
1990-03-11,408.13,,432585.09,346.13
1990-03-12,208.09,,432585.09,147.09
1990-03-13,349.33,,432866.94,290.33
1990-03-14,207.94,,432866.94,150.94
1990-03-15,285.27,,433036.06,229.27
1990-03-16,210.13,,433036.06,156.13
1990-03-17,324.57,,433261.53,271.57
1990-03-18,297.14,,433430.63,245.14
1990-03-19,320.53,,433656.09,268.53
1990-03-20,544.2,,434332.53,492.2
1990-03-21,493.39,,434896.22,440.39
1990-03-22,669.01,,435798.09,614.01
1990-03-23,1307.34,,437961.81,1245.34
1990-03-24,763.59,,439051.53,697.59
1990-03-25,617.66,,439854.5,548.66
1990-03-26,672.48,,440772.16,601.48
1990-03-27,757.9,,441861.91,685.9
1990-03-28,874.79,,443181.06,799.79
1990-03-29,846.91,,444442.84,768.91
1990-03-30,961.24,,445934.06,879.24
1990-03-31,1018.86,,447540.0,929.86
1990-04-01,1178.09,,449463.84,1079.09
1990-04-02,1322.59,,451679.16,1209.59
1990-04-03,1168.84,,453602.97,1034.84
1990-04-04,1308.48,,455818.31,1147.48
1990-04-05,1221.18,,457858.72,1029.18
1990-04-06,1078.45,,459605.0,854.45
1990-04-07,1111.82,,461407.91,851.82
1990-04-08,1174.71,,463335.34,873.71
1990-04-09,977.53,,464878.0,638.53
1990-04-10,1037.69,,466539.34,667.69
1990-04-11,1180.29,,468487.5,777.29
1990-04-12,1116.79,,470310.78,667.79
1990-04-13,1090.19,,472080.0,600.19
1990-04-14,1076.25,,473820.0,543.25
1990-04-15,1349.5,,476100.0,738.5
1990-04-16,1464.42,,478600.0,728.42
1990-04-17,2039.43,,482252.28,1134.43
1990-04-18,2058.23,,485940.0,948.23
1990-04-19,2013.46,,489540.0,783.46
1990-04-20,2503.77,,494112.53,1213.77
1990-04-21,3332.6,,500326.22,1912.6
1990-04-22,3783.44,,507435.84,2173.44
1990-04-23,4690.87,,516349.09,2820.87
1990-04-24,3754.61,,523407.5,1864.61
