DateTime,Inflow_cfs,Release_cfs,Storage_acft,Gain_cfs
1990-01-01,1073.98,,21470.02,
1990-01-02,1081.89,,21470.02,
1990-01-03,1058.64,,21470.02,
1990-01-04,1051.28,,21470.02,
1990-01-05,1042.4,,21470.02,
1990-01-06,1036.36,,21470.02,
1990-01-07,1136.52,,21665.33,
1990-01-08,1181.38,,21862.45,
1990-01-09,1055.08,,22663.93,
1990-01-10,518.99,,22769.31,
1990-01-11,618.4,,23078.18,
1990-01-12,513.42,,23185.49,
1990-01-13,629.99,,23500.01,
1990-01-14,719.37,,23994.29,
1990-01-15,623.7,,24291.89,
1990-01-16,621.76,,24593.19,
1990-01-17,467.45,,24593.19,
1990-01-18,574.61,,24797.79,
1990-01-19,575.01,,25004.1,
1990-01-20,478.91,,25110.46,
1990-01-21,682.47,,25530.02,
1990-01-22,518.84,,25625.72,
1990-01-23,534.24,,25726.59,
1990-01-24,594.06,,25924.65,
1990-01-25,475.46,,25924.65,
1990-01-26,469.05,,25823.01,
1990-01-27,538.65,,25924.65,
1990-01-28,537.65,,26021.84,
1990-01-29,722.12,,26424.08,
1990-01-30,530.65,,26528.09,
1990-01-31,589.31,,26732.33,
1990-02-01,419.32,,26627.52,
1990-02-02,603.31,,26832.54,
1990-02-03,644.51,,27140.48,
1990-02-04,294.02,,26732.33,
1990-02-05,755.59,,27247.31,
1990-02-06,443.62,,27140.48,
1990-02-07,727.16,,27457.08,
1990-02-08,487.19,,27247.31,
1990-02-09,843.07,,27756.59,
1990-02-10,678.01,,27857.8,
1990-02-11,782.65,,28256.6,
1990-02-12,554.46,,28153.94,
1990-02-13,497.49,,27954.56,
1990-02-14,685.84,,27954.56,
1990-02-15,1371.41,,28760.66,
1990-02-16,571.17,,28354.75,
1990-02-17,1102.38,,28865.54,
1990-02-18,654.85,,28865.54,
1990-02-19,762.83,,29172.39,
1990-02-20,700.72,,29380.46,
1990-02-21,669.41,,29172.39,
1990-02-22,703.73,,28556.98,
1990-02-23,793.03,,28354.75,
1990-02-24,675.33,,28458.14,
1990-02-25,723.66,,28661.11,
1990-02-26,585.93,,28661.11,
1990-02-27,619.08,,28661.11,
1990-02-28,722.76,,28865.54,
1990-03-01,625.44,,28865.54,
1990-03-02,624.74,,28865.54,
1990-03-03,786.43,,29172.39,
1990-03-04,727.0,,29380.46,
1990-03-05,419.3,,28965.79,
1990-03-06,795.49,,29278.76,
1990-03-07,928.93,,29790.79,
1990-03-08,320.07,,29071.41,
1990-03-09,885.24,,29487.59,
1990-03-10,-243.93,,27660.51,
1990-03-11,1022.9,,28256.6,
1990-03-12,798.79,,28458.14,
1990-03-13,532.86,,28153.94,
1990-03-14,543.15,,28153.94,
1990-03-15,864.02,,28865.54,
1990-03-16,807.8,,29487.59,
1990-03-17,643.76,,29790.79,
1990-03-18,648.32,,30091.98,
1990-03-19,452.12,,29992.89,
1990-03-20,526.77,,29992.89,
1990-03-21,503.12,,29889.21,
1990-03-22,787.51,,30401.26,
1990-03-23,954.57,,30501.7,
1990-03-24,584.35,,30607.54,
1990-03-25,824.69,,31234.74,
1990-03-26,929.16,,31446.68,
1990-03-27,2035.49,,33312.32,
