DateTime,Inflow_cfs,Release_cfs,Storage_acft,Gain_cfs
1990-01-01,2382.3,,784678.88,1872.3
1990-01-02,2632.94,,787521.06,2122.94
1990-01-03,2397.06,,789875.56,1885.06
1990-01-04,2452.48,,792359.81,1937.48
1990-01-05,2459.06,,794857.13,1990.06
1990-01-06,2009.21,,796482.0,1574.21
1990-01-07,2465.62,,798992.31,2035.62
1990-01-08,2848.22,,802261.5,2418.22
1990-01-09,2537.15,,804913.69,2113.15
1990-01-10,2479.45,,807451.44,2057.45
1990-01-11,2354.35,,809741.06,1934.35
1990-01-12,2431.03,,812162.94,2011.03
1990-01-13,2414.24,,814591.19,1994.24
1990-01-14,2677.54,,817541.69,2257.54
1990-01-15,2422.78,,819986.88,2002.78
1990-01-16,2436.03,,822438.5,2016.03
1990-01-17,2245.23,,824511.69,1825.23
1990-01-18,2180.6,,826456.69,1760.6
1990-01-19,2099.22,,828279.94,1679.22
1990-01-20,1824.31,,829577.75,1404.31
1990-01-21,1896.19,,831018.13,1476.19
1990-01-22,2293.8,,833227.31,1873.8
1990-01-23,2293.34,,835415.75,1873.34
1990-01-24,2296.71,,837610.88,1876.71
1990-01-25,2245.45,,839684.5,1825.45
1990-01-26,2497.21,,842277.31,2077.21
1990-01-27,2055.95,,843975.06,1635.95
1990-01-28,2240.12,,846057.94,1820.12
1990-01-29,2510.89,,848677.88,2090.89
1990-01-30,2313.82,,850906.94,1893.82
1990-01-31,2327.22,,853142.75,1907.22
1990-02-01,2264.83,,855254.81,1844.83
1990-02-02,2322.52,,857501.13,1902.52
1990-02-03,2404.49,,859890.19,1984.49
1990-02-04,2060.51,,861616.81,1640.51
1990-02-05,2265.45,,863749.94,1845.45
1990-02-06,2264.73,,865881.63,1845.73
1990-02-07,2475.47,,868431.31,2059.47
1990-02-08,2009.82,,870037.56,1593.82
1990-02-09,2342.08,,872322.69,1926.08
1990-02-10,2348.99,,874621.5,1932.99
1990-02-11,2358.13,,876918.63,1942.13
1990-02-12,2371.7,,879222.81,1955.7
1990-02-13,2170.31,,881127.56,1754.31
1990-02-14,2168.48,,883028.69,1754.48
1990-02-15,1969.28,,884534.69,1557.28
1990-02-16,2243.35,,886584.31,1831.35
1990-02-17,2317.09,,888780.19,1905.09
1990-02-18,2119.28,,890563.88,1707.28
1990-02-19,1843.56,,891800.69,1431.56
1990-02-20,1853.91,,893038.19,1446.91
1990-02-21,2266.78,,895114.44,1859.78
1990-02-22,2275.71,,897188.56,1868.71
1990-02-23,2405.04,,899539.06,1998.04
1990-02-24,2200.06,,901443.31,1793.06
1990-02-25,2208.58,,903344.63,1801.58
1990-02-26,2274.27,,905396.06,1867.27
1990-02-27,2202.8,,907305.75,1795.8
1990-02-28,2150.41,,909091.69,1743.41
