DateTime,thf_id,thf_qd,thf_af
1990-01-01,77.3,14.0,16277.32
1990-01-02,59.07,14.0,16372.07
1990-01-03,58.44,14.0,16465.58
1990-01-04,73.56,14.0,16589.01
1990-01-05,81.55,13.0,16728.36
1990-01-06,78.34,13.0,16861.33
1990-01-07,89.95,13.0,17017.32
1990-01-08,116.45,14.0,17225.73
1990-01-09,194.69,26.0,17568.39
1990-01-10,139.82,116.0,17619.54
1990-01-11,139.89,139.0,17619.54
1990-01-12,136.02,132.0,17628.48
1990-01-13,118.05,127.0,17611.86
1990-01-14,124.48,125.0,17611.86
1990-01-15,120.67,122.0,17611.86
1990-01-16,108.33,117.0,17596.52
1990-01-17,105.67,117.0,17574.79
1990-01-18,88.36,103.0,17545.38
1990-01-19,72.88,84.0,17523.64
1990-01-20,56.97,73.0,17494.23
1990-01-21,98.3,78.0,17538.98
1990-01-22,108.89,96.0,17568.39
1990-01-23,127.89,117.0,17590.13
1990-01-24,67.61,87.0,17551.77
1990-01-25,81.6,83.0,17551.77
1990-01-26,106.06,96.0,17574.79
1990-01-27,87.68,88.0,17574.79
1990-01-28,96.08,95.0,17583.73
1990-01-29,89.93,101.0,17568.39
1990-01-30,100.14,99.0,17574.79
1990-01-31,93.39,96.0,17574.79
1990-02-01,90.21,92.0,17574.79
1990-02-02,96.91,100.0,17574.79
1990-02-03,94.5,96.0,17574.79
1990-02-04,79.78,82.0,17574.79
1990-02-05,87.8,90.0,17574.79
1990-02-06,75.1,77.0,17574.79
1990-02-07,71.08,74.0,17574.79
1990-02-08,61.43,80.0,17545.38
1990-02-09,120.04,104.0,17583.73
1990-02-10,125.64,118.0,17605.47
1990-02-11,165.46,148.0,17650.22
1990-02-12,169.28,173.0,17650.22
1990-02-13,105.05,145.0,17574.79
1990-02-14,83.13,96.0,17538.98
1990-02-15,98.11,80.0,17538.98
1990-02-16,76.96,84.0,17517.25
1990-02-17,89.02,86.0,17530.03
1990-02-18,83.02,86.0,17530.03
1990-02-19,78.55,82.0,17530.03
1990-02-20,83.05,82.0,17538.98
1990-02-21,80.64,81.0,17545.38
1990-02-22,80.65,85.0,17545.38
1990-02-23,101.57,91.0,17574.79
1990-02-24,122.45,113.0,17605.47
1990-02-25,130.77,132.0,17611.86
1990-02-26,141.2,139.0,17628.48
1990-02-27,136.23,138.0,17634.88
1990-02-28,115.06,129.0,17611.86
1990-03-01,124.15,124.0,17611.86
1990-03-02,125.07,126.0,17611.86
1990-03-03,141.74,128.0,17641.27
1990-03-04,125.7,130.0,17634.88
1990-03-05,138.37,136.0,17641.27
1990-03-06,129.18,133.0,17634.88
1990-03-07,139.67,137.0,17641.27
1990-03-08,156.03,145.0,17665.56
1990-03-09,122.14,138.0,17634.88
1990-03-10,151.3,151.0,17634.88
1990-03-11,154.42,153.0,17634.88
1990-03-12,162.98,154.0,17650.22
1990-03-13,137.07,143.0,17634.88
1990-03-14,165.99,146.0,17671.96
1990-03-15,144.91,142.0,17671.96
1990-03-16,134.44,139.0,17656.61
1990-03-17,133.21,134.0,17650.22
1990-03-18,166.61,146.0,17687.3
1990-03-19,209.43,166.0,17767.85
1990-03-20,153.64,173.0,17723.1
1990-03-21,178.12,174.0,17723.1
1990-03-22,169.25,172.0,17710.31
1990-03-23,155.26,173.0,17665.56
1990-03-24,168.56,162.0,17671.96
1990-03-25,160.86,153.0,17679.63
1990-03-26,146.78,143.0,17679.63
1990-03-27,128.93,129.0,17671.96
1990-03-28,111.65,115.0,17656.61
1990-03-29,92.45,102.0,17628.48
1990-03-30,106.29,102.0,17628.48
1990-03-31,113.69,98.0,17650.22
1990-04-01,106.74,99.0,17656.61
1990-04-02,96.03,98.0,17641.27
1990-04-03,93.23,89.0,17641.27
1990-04-04,73.22,79.0,17619.54
1990-04-05,69.79,70.0,17611.86
1990-04-06,53.56,59.0,17596.52
1990-04-07,62.18,56.0,17605.47
1990-04-08,27.93,53.0,17551.77
1990-04-09,27.67,38.0,17530.03
1990-04-10,48.82,38.0,17551.77
1990-04-11,57.05,44.0,17574.79
1990-04-12,6.31,34.0,17517.25
1990-04-13,45.74,35.0,17538.98
1990-04-14,77.05,54.0,17590.13
1990-04-15,71.18,60.0,17605.47
1990-04-16,63.08,87.0,17551.77
1990-04-17,90.35,99.0,17517.25
1990-04-18,65.37,99.0,17441.81
1990-04-19,57.22,114.0,17315.23
1990-04-20,27.33,113.0,17129.83
1990-04-21,38.29,112.0,16966.18
1990-04-22,56.98,112.0,16839.6
1990-04-23,89.76,111.0,16779.5
1990-04-24,102.98,101.0,16766.71
1990-04-25,54.86,95.0,16675.04
1990-04-26,81.99,95.0,16641.38
1990-04-27,91.42,86.0,16641.38
1990-04-28,322.66,60.0,17152.85
1990-04-29,227.49,45.0,17517.25
1990-04-30,149.22,95.0,17619.54
1990-05-01,105.47,101.0,17619.54
1990-05-02,95.26,90.0,17619.54
1990-05-03,57.29,70.0,17590.13
1990-05-04,68.51,67.0,17590.13
1990-05-05,93.86,72.0,17628.48
1990-05-06,70.13,89.0,17583.73
1990-05-07,72.29,70.0,17583.73
1990-05-08,81.82,79.0,17583.73
1990-05-09,67.3,85.0,17538.98
1990-05-10,72.18,81.0,17517.25
1990-05-11,75.88,88.0,17494.23
1990-05-12,24.57,95.0,17352.31
1990-05-13,31.28,94.0,17225.73
1990-05-14,50.59,94.0,17137.51
1990-05-15,79.56,93.0,17108.1
1990-05-16,22.86,93.0,16966.18
1990-05-17,53.13,93.0,16884.35
1990-05-18,21.53,93.0,16741.14
1990-05-19,24.67,93.0,16603.97
1990-05-20,54.68,94.0,16524.18
1990-05-21,51.1,94.0,16436.9
1990-05-22,57.46,93.0,16363.34
1990-05-23,59.27,94.0,16292.28
1990-05-24,60.17,65.0,16277.32
1990-05-25,81.94,52.0,16335.92
1990-05-26,70.63,52.0,16372.07
1990-05-27,85.69,53.0,16436.9
1990-05-28,204.5,53.0,16734.75
1990-05-29,374.27,54.0,17367.65
1990-05-30,306.95,173.0,17755.06
1990-05-31,230.69,315.0,17812.6
1990-06-01,172.1,349.0,17821.55
1990-06-02,102.29,320.0,17806.21
1990-06-03,131.74,273.0,17821.55
1990-06-04,109.36,246.0,17723.1
1990-06-05,123.73,226.0,17738.44
1990-06-06,125.87,213.0,17732.05
1990-06-07,282.16,257.0,17776.8
1990-06-08,243.15,242.0,17767.85
1990-06-09,224.78,220.0,17767.85
1990-06-10,246.62,250.0,17755.06
1990-06-11,246.16,250.0,17738.44
1990-06-12,223.35,217.0,17738.44
1990-06-13,187.31,190.0,17723.1
1990-06-14,116.55,160.0,17628.48
1990-06-15,116.06,128.0,17596.52
1990-06-16,108.82,106.0,17596.52
1990-06-17,102.96,100.0,17596.52
1990-06-18,126.85,120.0,17605.47
1990-06-19,134.21,119.0,17628.48
1990-06-20,97.04,116.0,17590.13
1990-06-21,114.2,132.0,17545.38
1990-06-22,86.04,114.0,17485.28
1990-06-23,88.16,111.0,17434.14
1990-06-24,78.34,110.0,17367.65
1990-06-25,70.27,106.0,17292.22
1990-06-26,38.78,87.0,17188.65
1990-06-27,45.19,73.0,17129.83
1990-06-28,22.06,72.0,17026.27
1990-06-29,43.86,72.0,16966.18
1990-06-30,6.3,92.0,16794.84
1990-07-01,19.61,105.0,16618.93
1990-07-02,-15.09,104.0,16378.31
1990-07-03,42.67,103.0,16254.88
