ACAO,"Ashland Creek Mouth, near Ashland, OR"
AFCI,"St. Anthony Union Feeder Canal"
AFTY,"Afton Wyoming Weather Station"
AGA,"Agate Dam and Reservoir near Medford, OR"
AHTI,"Ashton Idaho Weather Station 4S"
ALMW,"Almira Hydromet Station, WA"
ALNO,"Allen Canal near Echo, OR"
ALPY,"Snake River above Reservoir near Alpine, WY"
ALTO,"A-Line Canal Terminus"
ALTY,"Alta Wyoming Weather Station"
AMF,"American Falls Reservoir at American Falls, ID"
AMFI,"Snake River at Neeley, ID"
ANCI,"Anderson Canal"
AND,"Anderson Ranch Dam and Reservoir"
ANDI,"South Fork Boise River at Anderson Ranch Dam"
ANTI,"Henrys Fork at St. Anthony, ID"
ANTO,"Antelope Creek Diversion Dam"
ARAO,"Aurora Oregon Weather Station"
ARK,"Arrowrock Dam and Reservoir"
ARKI,"Middle Fork Boise bel. Arrowrock Dam "
ARNO,"Arnold Canal"
ASCI,"Aberdeen-Springfield Canal"
ASLO,"Ashland Lateral near Ashland, OR"
ATLI,"Atlanta 3 Weather Station"
AUCI,"St. Anthony Union Canal"
BALO,"Baltzor Ranch near Sheaville, Oregon"
BANO,"Bandon Oregon Weather Station 1S"
BASO,"Bear Creek below Ashland Cr. at Ashland, OR"
BCAO,"Bear Creek above Ashland, OR"
BCCO,"Bear Creek Canal at Medford, OR"
BCMO,"Bear Creek at Mouth below Central Point, OR"
BCSO,"Beaver Creek and Beaver Siphon at Howard Prairie Can"
BCTO,"Bear Creek below Phoenix Diversion near Talent"
BDDI,"Boise River below Diversion Dam near Boise"
BENO,"Deschutes River at Benham Falls, OR"
BEU,"Agency Valley (Beulah) Dam and Reservoir"
BEUO,"North Fork Malheur River at Beulah"
BFCI,"Blackfoot Canal"
BFKY,"Buffalo Fork above Lava Creek near Moran, WY"
BFTI,"Snake River near Blackfoot, ID"
BIGI,"Boise River at Glenwood Bridge"
BILI,"Billingsly Creek near Haggerman at Hwy 30"
BIRO,"Birch Creek near Reith, OR"
BJBO,"Bear Creek at Jackson St. Bridge, Medford, OR"
BKPI,"Boelky Pump"
BOMI,"Boise River near Middleton, ID"
BKVO,"Baker Valley Agrimet"
BMCI,"Butte and Market Lake Canal"
BNK,"Banks Lake at Grand Coulee, WA"
BOII,"Boise Idaho Weather Station"
BOOI,"Rudy Canal"
BOUY,"Bondurant 4NW (NWS)"
BPPI,"Bob Parkinson Pump"
BRCO,"Bridge Creek near Coote Canyon"
BRFI,"South Fork Boise River near Featherville"
BRKO,"Brookings Oregon Agrimet Station"
BSEI,"New York Canal Diversion from Boise River"
BSKI,"Big Smokey RS Weather Station"
BTSI,"Boise River near Twin Springs, Idaho"
BUL,"Bully Creek Dam and Reservoir near Vale, OR"
BURI,"Burgess Canal"
CACO,"Cascade Canal near Fish Lake"
CAPO,"Crooked River at Prineville, OR"
CBCI,"Corbett Canal"
CCL,"Salmon Lake Dam and Conconully Lake nr Conconully,WA"
CCPI,"Canyon Creek Lateral Pump"
CCR,"Conconully Dam and Reservoir near Conconully, WA"
CECI,"Clark and Edwards Canal"
CEDC,"Cedarville California Weather Station 4N"
CENO,"Central Oregon Canal"
CFCI,"Consolidated Farmers Canal"
CFMM,"Flathead River at Columbia Falls, MT"
CHCI,"Chester Canal"
CHEI,"Falls River near Chester, ID"
CHVO,"Christmas Valley Oregon Weather Station 3NW"
CIBW,"Columbia River at International Boundary"
CJDW,"Chief Joseph Dam AgriMet, WA"
CLS,"Cold Springs Dam near Hermiston, OR"
CMO,"Lake Como near Hamilton, MT"
CNCI,"Council Weather Station"
COVM,"Corvallis Montana Weather Station 2NE"
