TIMESTAMP        scratch2-RQ      scratch2-RD      scratch2-WR      
1648314365 0 0 0
1648314375 0 0 0
1648314385 0 0 0
1648314395 0 0 0
1648314405 0 0 0
1648314416 0 0 0
1648314426 0 0 0
1648314436 0 0 0
1648314446 0 0 0
1648314456 0 0 0
1648314466 0 0 0
1648314477 0 0 0
1648314487 0 0 0
1648314497 0 0 0
1648314508 0 0 0
1648314523 0 0 0
1648314538 0 0 0
1648314553 0 0 0
1648314568 0 0 0
1648314583 0 0 0
1648314594 0 0 0
1648314604 0 0 0
1648314614 0 0 0
1648314624 0 0 0
1648314635 0 0 0
1648314645 0 0 0
1648314655 0 0 0
1648314665 0 0 0
1648314676 0 0 0
1648314686 0 0 0
1648314696 0 0 0
1648314706 0 0 0
1648314717 0 0 0
1648314727 0 0 0
1648314737 0 0 0
1648314747 0 0 0
1648314758 0 0 0
1648314768 0 0 0
1648314778 0 0 0
1648314788 0 0 0
1648314798 0 0 0
1648314809 0 0 0
1648314819 0 0 0
1648314829 0 0 0
1648314839 0 0 0
1648314850 0 0 0
1648314860 0 0 0
1648314870 0 0 0
1648314880 0 0 0
1648314890 0 0 0
1648314901 0 0 0
1648314911 0 0 0
1648314921 0 0 0
1648314931 0 0 0
1648314941 0 0 0
1648314951 0 0 0
1648314962 0 0 0
1648314972 0 0 0
1648314982 0 0 0
1648314992 0 0 0
