TIMESTAMP        home1-RQ         home1-RD         home1-WR         work2-RQ         work2-RD         work2-WR         scratch1-RQ      scratch1-RD      scratch1-WR      scratch2-RQ      scratch2-RD      scratch2-WR      scratch3-RQ      scratch3-RD      scratch3-WR      
1648314294        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1648314305        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1648314315        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1648314325        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1648314335        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1648314345        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1648314355        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1648314366        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1648314376        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1648314386        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1648314396        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1648314406        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1648314417        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1648314427        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1648314437        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1648314447        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1648314458        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1648314468        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1648314478        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1648314489        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1648314501        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1648314520        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1648314538        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1648314555        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1648314573        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1648314587        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1648314602        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1648314617        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1648314632        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1648314648        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1648314663        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1648314678        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1648314693        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1648314708        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1648314723        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1648314735        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1648314745        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1648314756        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1648314766        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1648314776        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1648314786        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1648314797        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1648314807        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1648314817        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1648314828        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1648314838        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1648314848        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1648314858        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1648314869        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1648314879        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1648314889        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1648314899        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1648314909        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1648314920        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1648314930        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1648314940        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1648314950        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1648314960        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1648314970        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1648314981        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
