#HOST     VIRT_MAX  RES_MAX  FREE_MIN
c130-204 89.1338 19.1497 163.5320
c130-213 82.7965 18.6732 164.1970
c131-003 82.9607 18.7504 164.0630
c131-054 82.9527 18.8434 164.0900
c131-062 82.8458 18.7141 164.2240
c131-094 82.7405 18.6744 163.9200
c131-114 82.9725 18.8209 164.0300
c131-124 82.7282 18.5847 164.1310
c131-141 83.0832 18.9412 163.8140
c131-184 84.2286 18.7118 164.2480
c131-204 82.9477 18.9126 163.8470
c132-003 82.8521 18.7699 164.0740
c132-013 82.7954 18.5565 163.8320
c132-061 82.7055 18.6450 163.8350
c132-071 82.8823 18.7737 163.9800
c132-111 82.7716 18.6975 163.6070
c132-144 82.7659 18.5363 164.6280
c132-201 82.9095 18.7559 163.3590
c132-203 84.2393 18.6576 164.3640
c133-052 82.7107 18.6791 163.3160
c133-093 82.7335 18.7690 164.5730
c133-101 82.8329 18.5755 163.6410
c133-114 82.7201 18.6463 164.2430
c133-124 82.8184 18.7019 163.7770
c133-163 82.6506 18.4801 164.4610
c134-013 82.8153 18.6128 164.5570
c134-042 82.9868 18.8576 163.4480
c134-162 84.2992 18.6942 163.9730
c134-194 82.7182 18.6161 164.6450
c135-013 82.8574 18.7169 163.4360
c135-032 82.8875 18.6971 164.1260
c135-041 82.8872 18.6031 163.6670
c135-054 82.9262 18.8050 163.2420
c135-091 82.7918 18.7027 164.1240
c135-103 82.8433 18.6715 164.0440
c135-143 82.7731 18.6937 164.0390
c135-154 84.2695 18.6719 163.7140
c135-163 82.9201 18.7774 163.7380
c135-213 82.6968 18.6565 164.0230
c135-214 82.8489 18.6799 163.4960
c136-014 82.8955 18.7732 163.5490
c136-042 82.7506 18.6145 164.3190
c136-052 82.7761 18.7410 164.3870
c136-061 82.7235 18.6280 163.5160
c136-083 82.7428 18.9305 163.1480
c136-091 84.1316 18.7199 164.1540
c136-104 82.7384 18.5768 163.8570
c136-112 82.8266 18.7667 163.4600
c136-121 82.8453 18.6170 164.2330
c136-164 82.7679 18.6449 163.7130
c136-182 82.9422 18.7162 163.4120
c136-202 82.6618 18.5339 164.2520
c136-204 82.7450 18.6646 164.0350
c136-214 83.0051 18.8582 163.7700
c137-031 84.2763 18.7326 164.2100
c137-073 82.9960 18.8235 163.5180
c137-084 82.7017 18.5739 164.3870
c137-094 82.8857 18.7493 163.6640
c137-103 82.9520 18.8075 164.0850
c137-214 82.8503 18.7533 163.9770
c138-012 82.8022 18.6603 164.2290
c138-051 82.8368 18.6370 164.3640
c138-081 82.6599 18.4730 164.1820
c138-094 84.2741 18.7827 163.7780
c138-174 82.7995 18.7439 164.1800
c139-023 82.8993 18.6366 164.0490
c139-042 83.0000 18.8060 163.8310
c139-073 82.6779 18.6948 164.1130
c139-084 82.8714 18.7893 163.9120
c139-093 82.8574 18.6331 164.3200
c139-101 82.8007 18.7425 164.1580
c140-003 82.8106 18.7368 164.3640
c140-011 84.1653 18.9438 164.2440
c140-023 82.7494 18.7056 164.1290
c140-074 82.8008 18.6266 164.4180
c140-113 82.7425 18.6083 164.5870
c140-131 82.8544 18.7023 163.8100
c140-144 82.8359 18.5970 164.1790
c140-194 82.8126 18.6411 163.8460
c141-002 82.6601 18.4928 164.2900
c141-032 82.8583 18.7065 164.1100
c141-042 84.3082 18.7415 163.8270
c141-054 82.8489 18.7105 163.9800
c142-052 82.9707 18.8488 164.1310
c142-064 82.7831 18.7674 163.8470
c142-072 82.7409 18.4564 164.5790
c142-074 82.8460 18.6742 163.6550
c142-082 82.8470 18.7336 164.0490
c142-093 82.6652 18.6351 164.4060
c142-104 82.9594 18.8571 163.8440
c142-121 84.2086 18.6811 163.4770
c142-151 82.8600 18.7657 163.8690
c142-191 82.8050 18.6755 163.9090
c142-202 82.8217 18.6960 164.2400
c143-022 82.8150 18.6670 164.2390
c143-053 82.8422 18.6310 163.8000
c143-103 82.8879 18.6480 163.3270
c143-123 82.9206 18.7957 164.1370
c144-064 82.5940 18.4893 164.2420
c144-081 84.1995 18.6741 164.5730
c144-184 82.9431 18.7673 163.9150
c145-032 82.8601 18.7270 164.0620
c145-084 82.8913 18.7342 163.9480
c145-092 82.7757 18.6991 164.1770
c145-163 82.8863 18.6855 164.0010
c145-173 82.8433 18.8430 164.6280
c145-181 82.8861 18.6886 164.1260
c146-044 82.8369 18.6725 163.3040
c146-052 84.2298 18.7565 163.6570
c146-063 82.8639 18.8722 163.7310
c146-071 82.9803 18.7786 164.4000
c146-082 82.7321 18.6014 164.4080
c146-102 82.8896 18.7908 163.8800
c146-104 82.8494 18.6932 164.0270
c146-181 82.8965 18.7780 163.6150
c147-051 82.7664 18.5705 163.9750
c147-072 82.9509 18.8065 164.0860
c147-084 84.2246 18.7174 164.0220
c147-153 82.6851 18.5471 164.1170
c151-062 82.9090 18.7783 163.6550
c152-201 82.8804 18.6981 163.7680
c153-161 82.7298 18.4977 163.9360
c156-124 82.7571 18.5762 164.3870
c158-091 82.8591 18.8184 164.0120
c158-142 82.7872 18.5213 164.5130
c160-093 82.8901 18.6655 164.0970
c166-103 84.1680 18.6547 164.4830
c171-202 82.6831 18.5124 164.2250
c172-154 82.9928 18.7609 164.1040
c177-051 82.8714 18.7264 163.8860
c180-011 82.7109 18.6326 163.3970
c181-214 82.8765 18.8531 163.9420
c182-013 82.8495 18.6424 164.2550
c182-021 82.9784 18.7528 164.0080
c182-023 82.9853 18.7882 164.1550
c182-051 83.9941 18.5673 164.2690
c182-053 82.6707 18.5393 164.2220
c182-071 82.8808 18.7260 164.2160
c182-091 82.9761 18.8722 163.6510
c182-201 83.0437 18.9343 163.8610
c183-011 82.6864 18.5512 164.3230
c183-013 82.8364 18.7346 164.0490
c183-023 70.9833 16.2730 165.8440
