#TIME all_pgs_mb huge_pgs_mb Node0_Foreign Node1_Foreign Node0_Local Node1_Local Node0_Other Node1_Other Node0_Free Node1_Free Node0_Used Node1_Used
1648314361 824630856 662971134 30129239 4492611 59385334 55760374 66049 118138 91534.09 94496.90 3251.02 2234.50
1648314371 824630856 662971134 30129239 4492611 59385772 55760768 66049 118138 91075.84 94121.07 3709.15 2608.88
1648314381 824631661 662971604 30129239 4492611 59386008 55761019 66049 118138 90969.78 93992.91 3814.21 2737.30
1648314392 824631661 662971604 30129239 4492611 59386150 55761206 66049 118138 90910.25 93898.00 3873.75 2832.98
1648314402 824631661 662971604 30129239 4492611 59386232 55761316 66049 118138 90891.51 93842.86 3892.00 2889.61
1648314413 824632887 662972012 30129239 4492611 59386662 55761782 66049 118138 90538.28 93491.48 4196.18 3194.08
1648314423 824635766 662974160 30129239 4492611 59388011 55763261 66049 118138 88583.36 91084.77 6203.59 5647.87
1648314433 824639474 662976062 30129239 4492611 59388444 55763774 66049 118138 88148.25 90433.09 6636.44 6298.34
1648314443 824641573 662977276 30129239 4492611 59389520 55764969 66049 118138 87878.22 90189.68 6951.80 6591.39
1648314453 824644694 662979410 30129239 4492611 59390043 55765677 66049 118138 87612.01 89784.44 7172.48 6972.89
1648314464 824647826 662981690 30129239 4492611 59390174 55765926 66049 118138 87707.64 89848.22 7077.43 6882.60
1648314474 824649029 662982514 30129239 4492611 59390320 55765984 66049 118138 87663.24 89798.36 7123.40 6932.47
1648314484 824649921 662983086 30129239 4492611 59390400 55766053 66049 118138 87637.72 89791.60 7147.36 6938.73
1648314499 824650274 662983354 30129239 4492611 59392441 55767194 66049 118138 85759.99 88662.88 9024.59 8067.94
1648314513 824650507 662983504 30129239 4492611 59392987 55767624 66049 118138 85365.08 88297.76 9419.97 8433.06
1648314531 824650587 662983550 30129239 4492611 59393707 55768749 66049 118138 84728.86 87281.17 10056.73 9451.37
1648314549 824650587 662983550 30129239 4492611 59394094 55769197 66049 118138 84412.52 86949.79 10371.97 9781.61
1648314567 824650587 662983550 30129239 4492611 59394451 55769572 66049 118138 84146.79 86652.67 10637.71 10077.74
1648314585 824650882 662983562 30129239 4492611 59394943 55769889 66049 118138 83751.05 86428.09 11034.59 10302.27
1648314599 824658230 662984336 30129239 4492611 59395513 55771007 66049 118138 83397.71 85609.21 11386.78 11121.17
1648314613 824659956 662984820 30129239 4492611 59395557 55771091 66049 118138 83393.82 85605.39 11391.78 11125.43
1648314628 824661118 662985078 30129239 4492611 59395694 55771197 66049 118138 83334.55 85590.80 11449.94 11140.62
1648314643 824661661 662985156 30129239 4492611 59395767 55771333 66049 118138 83339.57 85527.44 11444.06 11203.27
1648314658 824663069 662985392 30129239 4492611 59395875 55771403 66049 118138 83308.87 85523.77 11475.05 11207.02
1648314673 824663223 662985424 30129239 4492611 59396032 55771488 66049 118138 83245.51 85550.68 11539.07 11179.66
1648314688 824665310 662985796 30129239 4492611 59396338 55771674 66049 118138 83068.66 85564.41 11716.46 11166.41
1648314703 824666155 662985906 30129239 4492611 59396488 55771769 66049 118138 83053.08 85513.14 11743.71 11218.22
1648314718 824666382 662985944 30129239 4492611 59396620 55772008 66049 118138 83047.35 85424.09 11737.23 11306.73
1648314733 824666485 662985960 30129239 4492611 59396723 55772088 66049 118138 83047.68 85421.05 11737.46 11310.83
1648314745 824667131 662986076 30129239 4492611 59396861 55772166 66049 118138 83056.35 85400.82 11729.13 11330.01
1648314755 824669718 662986428 30129239 4492611 59396979 55772203 66049 118138 83067.61 85393.30 11716.91 11337.52
