             ,Observed           ,Modeled
Apalachia    ,1320.850308658547  ,2346.763799629437
BlueRidge    ,385.4123960215291  ,1845.8982661893333
Boone        ,1662.0338545764548 ,2464.619980697903
Chatuge      ,346.53426148047265 ,1576.5255530668828
Cherokee     ,3810.957418142474  ,3873.5379500840268
Chikamauga   ,23311.509891501373 ,24614.56069220624
Douglas      ,4950.594296436674  ,4970.508179759848
Fontana      ,2517.7762409626616 ,3945.9813383787005
FtLoudoun    ,12170.952563137791 ,12619.001017776596
FtPatrick    ,1693.5579889514788 ,2687.115785150966
Guntersville ,31128.980255542876 ,30532.182697158732
Hiwassee     ,1340.1867093700507 ,1826.0679004629153
Kentucky     ,53790.325410947706 ,51213.35366770912
MeltonH      ,3974.5458539307283 ,3667.314486088615
Nikajack     ,24750.762193610644 ,26265.905596818364
Norris       ,3341.3307424331965 ,6566.078745866165
Nottely      ,337.59659050075265 ,1897.6999682449823
Ocoee1       ,882.8474183713179  ,2132.3200164203627
Ocoee3       ,657.5973550684395  ,2629.6098732001933
Pickwick     ,46264.69236946157  ,43763.83448028398
SHolston     ,750.5615328410352  ,1604.6737688288733
TimsFord     ,1305.4748819164029 ,1440.673535632183
Watauga      ,599.7540498843497  ,1585.68575678779
WattsBar     ,19145.522257315475 ,19808.851592586638
Wheeler      ,41269.41506421564  ,38317.309469653825
Wilbur       ,566.4266064638496  ,2690.6450729316507
Wilson       ,44051.735882324494 ,41828.589122463396
